Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Rating_InternetMovieDatabase,Rating_RottenTomatoes,Rating_Metacritic,Error,Season,Episode,seriesID
Sweetgrass,2009,Unrated,22 Apr 2011,101 min,"Documentary, Adventure, Western","Ilisa Barbash, Lucien Castaing-Taylor",N/A,N/A,"In the summer of 2003, a group of shepherds took a herd of sheep one final time through the Beartooth Mountains of Montana, in the extreme north-west of the United States. It was a journey of almost three hundred kilometres throug...",English,"United Kingdom, France, United States",1 win & 10 nominations,https://m.media-amazon.com/images/M/MV5BMTc0NDYyMDY1OF5BMl5BanBnXkFtZTcwOTI4MzExMw@@._V1_SX300.jpg,80,6.8,"1,123",tt1517252,movie,N/A,"$207,473",N/A,N/A,True,6.8/10,98%,80/100,,,,
Kings of the Evening,2008,PG,31 Jan 2008,99 min,Drama,Andrew P. Jones,"Andrew P. Jones, Robert Page Jones","Tyson Beckford, Lynn Whitfield, Glynn Turman","Homer Hobbs, home after two years in jail, discovers that life on the outside can be crueler than the back-breaking injustice of the chain gang. He returns to a bleak urban town caught in the depths of the Great Depression - no jo...",English,United States,8 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BMjA3OTM1MTczN15BMl5BanBnXkFtZTcwMDY5MjQ5Mw@@._V1_SX300.jpg,N/A,6.0,300,tt1006904,movie,N/A,"$99,270",N/A,N/A,True,6.0/10,73%,,,,,
Shanghai Red,2006,Not Rated,29 Apr 2007,104 min,Drama,Oscar L. Costo,Oscar L. Costo,"Vivian Wu, Richard Burgi, Honglei Sun",A murder mystery set in contemporary Shanghai about a beautiful woman caught in a web of vengeance and deceit.,"English, Mandarin","United States, China",2 nominations,https://m.media-amazon.com/images/M/MV5BMTUwMzExNzAyMV5BMl5BanBnXkFtZTcwMjczMTcxOA@@._V1_SX300.jpg,N/A,5.8,114,tt0465600,movie,N/A,"$30,353",N/A,N/A,True,5.8/10,,,,,,
Sherlock Holmes,2009,PG-13,25 Dec 2009,128 min,"Action, Adventure, Mystery",Guy Ritchie,"Michael Robert Johnson, Anthony Peckham, Simon Kinberg","Robert Downey Jr., Jude Law, Rachel McAdams",Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,"English, French","United States, Germany",Nominated for 2 Oscars. 10 wins & 31 nominations total,https://m.media-amazon.com/images/M/MV5BMTg0NjEwNjUxM15BMl5BanBnXkFtZTcwMzk0MjQ5Mg@@._V1_SX300.jpg,57,7.5,"695,036",tt0988045,movie,N/A,"$209,028,679",N/A,N/A,True,7.5/10,70%,57/100,,,,
Sherlock Holmes,1916,Not Rated,15 May 1916,116 min,"Crime, Mystery",Arthur Berthelet,"H.S. Sheldon, William Gillette, Arthur Conan Doyle","William Gillette, Marjorie Kay, Ernest Maupain","When a couple of swindlers hold young Alice Faulkner against her will in order to discover the whereabouts of letters which could spell scandal for the royal family, Sherlock Holmes is on the case.","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNjRiMDgyZDUtNjlmOS00N2NiLTkwNjEtMDE3NWRjOTJlYTAxXkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_SX300.jpg,N/A,6.3,463,tt0007338,movie,N/A,N/A,N/A,N/A,True,6.3/10,,,,,,
Sherlock Holmes,2010,PG-13,26 Jan 2010,89 min,"Mystery, Sci-Fi",Rachel Lee Goldenberg,Paul Bales (screenplay),"Ben Syder, Gareth David-Lloyd, Dominic Keating, William Huw",Sherlock Holmes and Watson are on the trail of a criminal and scientific mastermind who seems to control monsters and creations which defy belief.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjE5MjA2MTc5Nl5BMl5BanBnXkFtZTcwOTk4Mjk5Mg@@._V1_SX300.jpg,N/A,3.6,"1,917",tt1522835,movie,N/A,N/A,N/A,N/A,True,3.6/10,,,,,,
Sherlock Holmes,2011,R,14 Nov 2011,77 min,Adventure,George Anton,David Wallace,"Kevin N. Glaser, Charles Simon, Daniel Rios",Sherlock Holmes is called when series of murders strike the town.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjM0OTQ5NTAzOF5BMl5BanBnXkFtZTcwNTQyMTMxOQ@@._V1_SX300.jpg,N/A,5.5,61,tt2304901,movie,N/A,N/A,N/A,N/A,True,5.5/10,,,,,,
Sherlock Holmes,1932,N/A,06 Nov 1932,68 min,"Drama, Thriller",William K. Howard,"Arthur Conan Doyle, William Gillette, Bertram Millhauser","Clive Brook, Miriam Jordan, Ernest Torrence",The famous detective is pulled away from retirement and his fiancée when the condemned Moriarty escapes from prison and swears vengeance.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzcwYmJkMWEtZjdkMi00MGI2LWEwZjUtM2JiNWEyMjM2ZmQzXkEyXkFqcGc@._V1_SX300.jpg,N/A,5.6,269,tt0023460,movie,N/A,N/A,N/A,N/A,True,5.6/10,,,,,,
Sherlock Holmes,1922,Not Rated,07 Mar 1922,85 min,"Drama, Mystery",Albert Parker,"Earle Browne, Arthur Conan Doyle, Marion Fairfax","John Barrymore, Roland Young, Carol Dempster",A young Sherlock Holmes seeks to bring down the criminal mastermind Moriarty as he solves a crime involving a blackmailed prince.,"None, English",United States,1 win,https://m.media-amazon.com/images/M/MV5BMjE4NzIwMTY5MF5BMl5BanBnXkFtZTcwMDU0MDMzNA@@._V1_SX300.jpg,N/A,5.7,754,tt0013597,movie,N/A,"$384,770",N/A,N/A,True,5.7/10,78%,,,,,
Nine,2009,PG-13,25 Dec 2009,118 min,"Drama, Musical, Romance",Rob Marshall,"Michael Tolkin, Anthony Minghella, Arthur Kopit","Daniel Day-Lewis, Marion Cotillard, Penélope Cruz","Famous film director Guido Contini struggles to find harmony in his professional and personal lives, as he engages in dramatic relationships with his wife, his mistress, his muse, his agent, and his mother.","English, Italian, French","United States, United Kingdom",Nominated for 4 Oscars. 8 wins & 60 nominations total,https://m.media-amazon.com/images/M/MV5BMTY5ODA2MzQxMl5BMl5BanBnXkFtZTcwMTI4NTEwMw@@._V1_SX300.jpg,49,5.8,"46,044",tt0875034,movie,N/A,"$19,676,965",N/A,N/A,True,5.8/10,39%,49/100,,,,
Nine,2023,N/A,04 Feb 2025,98 min,"Fantasy, Thriller",Chris Attoh,"Briana Cole, Erica Joy","Damien D. Smith, Kate Henshaw-Nuttal, Rosemary Zimu","Driven by grief, a U.S. detective's hunt for his daughter's murderer leads him to Africa, where he, along with a group of assassins, unravels a chilling string of witchcraft-related killings.",English,N/A,1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BZjkzNmIyZmUtNDhiMS00NmFiLTkzNDMtMzhjOTZkNDIzMjc5XkEyXkFqcGc@._V1_SX300.jpg,N/A,6.9,30,tt20249182,movie,N/A,N/A,N/A,N/A,True,6.9/10,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
The Young Victoria,2009,PG,08 Jan 2010,105 min,"Biography, Drama, History",Jean-Marc Vallée,Julian Fellowes,"Emily Blunt, Rupert Friend, Paul Bettany","A dramatization of the turbulent first years of Queen Victoria's rule, and her enduring romance with Prince Albert.","English, German",United Kingdom,Won 1 Oscar. 13 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BZDI4ODBlM2QtYjUxMS00OGRiLWI2YjgtZjI0YjU1YWY2MTJjXkEyXkFqcGc@._V1_SX300.jpg,64,7.2,"68,677",tt0962736,movie,N/A,"$11,001,272",N/A,N/A,True,7.2/10,75%,64/100,,,,
Avatar,2009,PG-13,18 Dec 2009,162 min,"Action, Adventure, Fantasy",James Cameron,James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver",A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,"English, Spanish","United States, United Kingdom",Won 3 Oscars. 91 wins & 131 nominations total,https://m.media-amazon.com/images/M/MV5BMDEzMmQwZjctZWU2My00MWNlLWE0NjItMDJlYTRlNGJiZjcyXkEyXkFqcGc@._V1_SX300.jpg,83,7.9,"1,453,457",tt0499549,movie,N/A,"$785,221,649",N/A,N/A,True,7.9/10,81%,83/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
A Single Man,1929,N/A,12 Jan 1929,60 min,Comedy,Harry Beaumont,"Hubert Henry Davies, Joseph Farnham, F. Hugh Herbert","Lew Cody, Aileen Pringle, Marceline Day","Robin Worthington (Lew Cody), a middle-aged man attracted by a young woman, at first avoids her, then falls for her. He undergoes a profound change in temperament, but in the end he marries his secretary, Mary Hazeltine (Aileen Pr...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjA3OTg4NjUxMV5BMl5BanBnXkFtZTgwNzkwOTMyMjE@._V1_SX300.jpg,N/A,7.5,37,tt0020409,movie,N/A,N/A,N/A,N/A,True,7.5/10,,,,,,
Invictus,2009,PG-13,11 Dec 2009,134 min,"Biography, Drama, History",Clint Eastwood,"Anthony Peckham, John Carlin","Morgan Freeman, Matt Damon, Tony Kgoroge","Nelson Mandela, in his first term as President of South Africa, initiates a unique venture to unite the Apartheid-torn land: enlist the national rugby team on a mission to win the 1995 Rugby World Cup.","English, Afrikaans, Maori, Zulu, Xhosa, Sotho",United States,Nominated for 2 Oscars. 12 wins & 38 nominations total,https://m.media-amazon.com/images/M/MV5BMjAyMzExMDM1N15BMl5BanBnXkFtZTcwNTcyMTQ5Mg@@._V1_SX300.jpg,74,7.3,"172,199",tt1057500,movie,N/A,"$37,491,364",N/A,N/A,True,7.3/10,76%,74/100,,,,
The Lovely Bones,2009,PG-13,15 Jan 2010,135 min,"Drama, Fantasy, Thriller",Peter Jackson,"Fran Walsh, Philippa Boyens, Peter Jackson","Mark Wahlberg, Rachel Weisz, Susan Sarandon",Centers on a young girl who has been murdered and watches over her family - and her killer - from purgatory. She must weigh her desire for vengeance against her desire for her family to heal.,English,"United Kingdom, New Zealand, United States",Nominated for 1 Oscar. 10 wins & 46 nominations total,https://m.media-amazon.com/images/M/MV5BMjAwNDA1MTM2MF5BMl5BanBnXkFtZTcwMzg3NDcwMw@@._V1_SX300.jpg,42,6.6,"189,124",tt0380510,movie,N/A,"$44,114,232",N/A,N/A,True,6.6/10,31%,42/100,,,,
A Single Man,2009,R,05 Feb 2010,99 min,"Drama, Romance, Thriller",Tom Ford,"Christopher Isherwood, Tom Ford, David Scearce","Colin Firth, Julianne Moore, Matthew Goode","An English professor, one year after the sudden death of his boyfriend, is unable to cope with his typical days in 1960s Los Angeles.","English, Spanish",United States,Nominated for 1 Oscar. 39 wins & 59 nominations total,https://m.media-amazon.com/images/M/MV5BMzU5MTk4MjQ2M15BMl5BanBnXkFtZTcwNDU0MzEwMw@@._V1_SX300.jpg,77,7.5,"121,021",tt1315981,movie,N/A,"$9,176,000",N/A,N/A,True,7.5/10,86%,77/100,,,,
Brothers,2009,R,04 Dec 2009,105 min,"Drama, Thriller, War",Jim Sheridan,"David Benioff, Susanne Bier, Anders Thomas Jensen","Jake Gyllenhaal, Natalie Portman, Tobey Maguire","While on tour in Afghanistan, Sam's helicopter is shot down and he is presumed dead. Back home, it is his screw-up brother who looks after the family. Sam does return, but with a lot of excess baggage.",English,United States,4 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BMTkyMTY5MTcxOV5BMl5BanBnXkFtZTcwMTI3MDE3Mg@@._V1_SX300.jpg,58,7.1,"164,874",tt0765010,movie,N/A,"$28,544,157",N/A,N/A,True,7.1/10,63%,58/100,,,,
Armored,2009,PG-13,04 Dec 2009,88 min,"Action, Crime, Mystery",Nimród Antal,James V. Simpson,"Matt Dillon, Jean Reno, Laurence Fishburne","A newbie guard for an armored truck company is coerced by his veteran coworkers to steal a truck containing $42 million. But a wrinkle in their supposedly foolproof plan divides the group, leading to a potentially deadly resolution.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTgyOTI4NzAyMF5BMl5BanBnXkFtZTcwOTk3Mjg3Mg@@._V1_SX300.jpg,50,5.7,"32,629",tt0913354,movie,N/A,"$15,988,876",N/A,N/A,True,5.7/10,42%,50/100,,,,
Up in the Air,1969,N/A,N/A,55 min,"Comedy, Family",Jan Darnley-Smith,"Wallace Bosco, Jan Darnley-Smith","Gary Smith, Jon Pertwee, Felix Felton",Victorian children improvise a balloon to escape from their Dickensian boarding school.,English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BYTgzNzAxZDktMjgyZS00MDMyLTgxZTktMjliMTI0N2ExYjdkXkEyXkFqcGdeQXVyMTE5ODAzNg@@._V1_SX300.jpg,N/A,5.7,13,tt0065159,movie,N/A,N/A,N/A,N/A,True,5.7/10,,,,,,
Brothers,2009,N/A,N/A,8 min,"Short, Horror",Alex Pucci,N/A,"Jon Rodriguez, Chris Gouchoe, Mackson Acordi","After his younger brother goes behind his back and tells his girlfriend that he's been cheating on her, the oldest brother takes revenge on his two siblings and gets even by killing them ...",English,USA,N/A,N/A,N/A,N/A,N/A,tt4312360,movie,N/A,N/A,N/A,N/A,True,,63%,,,,,
Brothers,2020,N/A,06 Nov 2020,14 min,"Short, Drama",Huse Monfaradi,Huse Monfaradi,"Jay Lycurgo, Ania Sowinski, Matthew Steer, Michael Workeye","'Brothers' is a story of friendship, betrayal and the fragility of mental health. The film is inspired by the real life experiences of Michael and his relationship with his older brother and his mental health issues.",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BMzM3ZDQwMGEtYzJkNi00N2Q4LWFmODItNWJiZTk4NWFkMmNmXkEyXkFqcGdeQXVyMTI2NTczOTUy._V1_SX300.jpg,N/A,N/A,N/A,tt13519390,movie,N/A,N/A,N/A,N/A,True,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Brothers,1912,N/A,24 Apr 1912,N/A,"Drama, Short",George Field,N/A,"Frank B. Coigne, Charles Hoskins, Madge Orlamond",This subject deals first with a woman who has lost her husband. Her two boys are now her mainstay and support. These boys are aged respectively 6 and 8. They sell papers and give their earnings to their mother. The elder of the bo...,"None, English",United States,N/A,N/A,N/A,N/A,N/A,tt0002076,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Brothers,1913,N/A,03 Feb 1913,17 min,"Drama, Short",D.W. Griffith,H.M.L. Nolte,"Charles Hill Mailes, Robert Harron, Clara T. Bracy","His dumb grief was mistaken for indifference at his mother's death-bed, but it was the non-committal lady who learned the truth. The favorite son came to woo and win her. She made fine biscuits. In the end, as is quite apt to be t...","None, English",United States,N/A,N/A,N/A,4.3,47,tt0002718,movie,N/A,N/A,N/A,N/A,True,4.3/10,,,,,,
Brothers,2025,N/A,09 Jul 2025,N/A,"Short, Drama",N/A,N/A,N/A,Two brothers navigate their past and repair their relationship after the death of their father.,English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BZjNiNzgyZWQtZmIyNy00NTkwLTg2ZmItYWQyNzE3NzFkMWZiXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt33353389,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Brothers,2021,N/A,08 Aug 2021,20 min,"Short, Drama",Timothy Richardson,Timothy Richardson,"Xavier Miles, Nicklaus Moody, Angie Stone",N/A,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZmI3NWMzYmQtZTg1OC00NTE0LThjZTMtODEyMmFmN2ZhYmFkXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt15028364,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Annie Johnson's Brothers,2021,N/A,19 Dec 2021,120 min,Drama,"Annie Johnson, Isaac L. Oliver",Annie Johnson,"Eugene Bernard, Terrie Berry, Mikiya Crudup","""BROTHERS"" is a play about life, love, letting go, and living. A single mistake can change a man's life - Or possibly end it. This stage play will indeed bless your life and give you an insight on some of the things that can happe...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZDJjOGRjMDktYTI1ZC00Y2ZkLWJhY2YtN2YwNDVlYzQzY2E2XkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt17717882,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Brothers,2020,N/A,15 Oct 2020,12 min,"Short, Drama",Julia Coulter,Julia Coulter,"Alex Alcheh, Kevin Michael Martin, Sharon Lawrence",Follows a mother and her two sons as they come to terms with the untimely death of their father. It examines what we remember about people we have lost and how we take their 'essence' with us as we move forward in life without them.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjIwNmEwNTEtNzI3YS00YWNhLTg0OTQtNWNlZTJmODAwNWViXkEyXkFqcGdeQXVyNTU4NjkzNjg@._V1_SX300.jpg,N/A,7.3,9,tt13391426,movie,N/A,N/A,N/A,N/A,True,7.3/10,,,,,,
Brothers,2022,N/A,N/A,17 min,"Short, Drama",Pete Schilling,Pete Schilling,"Philipp Christopher, Alexander Martschewski, Carlo Kitzlinger",N/A,English,Germany,N/A,https://m.media-amazon.com/images/M/MV5BYWE5YjllNDEtZWEyNS00YWEwLWE2NjktN2M3YzI5YzdlM2EyXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt31340288,movie,N/A,N/A,N/A,N/A,True,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Brothers,2011,N/A,22 Mar 2012,12 min,"Short, Comedy, Drama",Larry J. Cohen,Larry J. Cohen,"Daniel Fox, Ben Sloane, Susan Pasquantonio",Brothers is a short film about the modern difficulty of communicating with your family.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzgwYmQ1NzMtNzNkMS00ZTA1LWExNzQtOTg1MGQ5MWM5N2RmXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.0,9,tt2112917,movie,N/A,N/A,N/A,N/A,True,6.0/10,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Everybody's Fine,2009,PG-13,04 Dec 2009,99 min,"Adventure, Drama",Kirk Jones,"Kirk Jones, Giuseppe Tornatore, Tonino Guerra","Robert De Niro, Drew Barrymore, Kate Beckinsale",A widower who realized his only connection to his family was through his wife sets off on an impromptu road trip to reunite with each of his grown children.,English,United States,1 win & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTM1NzEwNzA5MV5BMl5BanBnXkFtZTcwNTE0NjAyMw@@._V1_SX300.jpg,47,7.1,"66,069",tt0780511,movie,N/A,"$9,208,876",N/A,N/A,True,7.1/10,47%,47/100,,,,
Up in the Air,2009,R,23 Dec 2009,109 min,"Comedy, Drama, Romance",Jason Reitman,"Walter Kirn, Jason Reitman, Sheldon Turner","George Clooney, Vera Farmiga, Anna Kendrick","Ryan's job is to travel around the country firing off people. When his boss hires Natalie, who proposes firing people via video conference, he tries to convince her that her method is a mistake.",English,United States,Nominated for 6 Oscars. 75 wins & 171 nominations total,https://m.media-amazon.com/images/M/MV5BMTI3MzYxMTA4NF5BMl5BanBnXkFtZTcwMDE4ODg3Mg@@._V1_SX300.jpg,83,7.4,"357,535",tt1193138,movie,N/A,"$83,823,381",N/A,N/A,True,7.4/10,90%,83/100,,,,
Up in the Air,1940,Approved,09 Sep 1940,62 min,"Comedy, Musical, Mystery",Howard Bretherton,Edmond Kelso,"Frankie Darro, Marjorie Reynolds, Mantan Moreland","A none-too-popular (nor good) radio singer, Rita Wilson is murdered while singing on the air in a radio studio. Radio page boy, Frankie Ryan, and his janitor pal, Jeff, solve the mystery for the none-too-sharp police.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZmU1OWExZTYtOWRjMi00YzdhLTk4M2QtMjJkMjBiOWZhMjU2XkEyXkFqcGdeQXVyMTQwMzQ1MA@@._V1_SX300.jpg,N/A,5.7,359,tt0033214,movie,N/A,N/A,N/A,N/A,True,5.7/10,,,,,,
Brothers,2025,N/A,15 May 2025,17 min,"Short, Drama",Jay Lape,Jay Lape,"Peyton Owen, Garrett Sweere, Jennifer A. Goodman","A cautious teen struggles to pull his reckless brother back from the edge, but as their turbulent night unfolds, he's forced to question whether some wounds can ever truly heal.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZjhjYTkzZjYtZjAxYy00Mjc3LWE5NjItZTc0N2Y5NzAyOGYzXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt36137823,movie,N/A,N/A,N/A,N/A,True,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Brothers,1982,N/A,15 Jun 1982,103 min,Drama,Terry Bourke,"Terry Bourke, Roger Ward","Chard Hayward, Ivar Kants, Margaret Laurence","News photographer Adam and journalist Kevin, two fictional estranged brothers who witnessed the real life 1975 killing of the Balibo Five in Timor, reunite after five years only for their PTSD to resurface and tear them apart.",English,Australia,N/A,https://m.media-amazon.com/images/M/MV5BYjdiZTVkNjAtNGNkYi00ZTU2LWE0NWUtZWZlZDUyYzRlM2NmXkEyXkFqcGdeQXVyMjEzMTA4OTE@._V1_SX300.jpg,N/A,5.0,29,tt0123573,movie,N/A,N/A,N/A,N/A,True,5.0/10,,,,,,
