Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Rating_InternetMovieDatabase,Rating_RottenTomatoes,Rating_Metacritic,Error,Season,Episode,seriesID,totalSeasons
Captivity,2022,N/A,01 Jun 2022,78 min,Thriller,Chris Floyd,Chris Floyd,"Claire Sims, Dan Schultz","Ashley is a college student who gets abducted by Samuel, a crazed religious fundamentalist. He attempts to force a change in Ashley as she struggles to escape to freedom.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZTIwOTVjZDYtNDM1Mi00NmY4LWExNmQtOTJjZmFmZTg5ZmEwXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,8,tt19177942,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Interview,2025,N/A,N/A,N/A,"Short, Drama",Giles Chan,Giles Chan,"Nicoletta Dimas, Warren Lyons, Yates Thomson Sharnya",An anxious woman desperately looking for work tries to survive a job interview.,English,Australia,N/A,N/A,N/A,N/A,N/A,tt35325016,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Interview,1979,N/A,29 Jan 2010,14 min,"Animation, Short","Caroline Leaf, Veronika Soul",N/A,"Caroline Leaf, Veronika Soul",N/A,English,Canada,2 wins,N/A,N/A,6.4,25,tt0079348,movie,N/A,N/A,N/A,N/A,True,6.4/10,,,,,,,
Interview,2009,N/A,23 Oct 2009,N/A,"Short, Comedy",Rey Janjua,Rey Janjua,"Shaheen Mufti, Tetyana Nedilko, Dafne Zuleima Morgado","During the dreaded days of the credit crunch. One man, comically bumbles around London, struggling to get a new job.",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BNjhkZjlmYWMtNDRlMS00Yzg5LWJmNGQtNzNmM2E5OTJlYmMzXkEyXkFqcGdeQXVyMjA0NzM3Mzk@._V1_SX300.jpg,N/A,N/A,N/A,tt5769026,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Rescue Dawn,2006,PG-13,27 Jul 2007,125 min,"Adventure, Biography, War",Werner Herzog,Werner Herzog,"Christian Bale, Steve Zahn, Jeremy Davies",A U.S. fighter pilot's epic struggle of survival after being shot down on a mission over Laos during the Vietnam War.,"English, Lao, Vietnamese","Luxembourg, United States",1 win & 6 nominations total,https://m.media-amazon.com/images/M/MV5BNzUxNzUzNzU2MV5BMl5BanBnXkFtZTcwNTgzNzU2NA@@._V1_SX300.jpg,77,7.3,"113,626",tt0462504,movie,N/A,"$5,490,423",N/A,N/A,True,7.3/10,90%,77/100,,,,,
Transformers,2007,PG-13,03 Jul 2007,144 min,"Action, Adventure, Sci-Fi",Michael Bay,"Roberto Orci, Alex Kurtzman, John Rogers","Shia LaBeouf, Megan Fox, Josh Duhamel","An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.","English, Spanish",United States,Nominated for 3 Oscars. 25 wins & 50 nominations total,https://m.media-amazon.com/images/M/MV5BZjM3ZDA2YmItMzhiMi00ZGI3LTg3ZGQtOTk3Nzk0MDY0ZDZhXkEyXkFqcGc@._V1_SX300.jpg,61,7.1,"707,469",tt0418279,movie,N/A,"$319,246,193",N/A,N/A,True,7.1/10,57%,61/100,,,,,
License to Wed,2007,PG-13,03 Jul 2007,91 min,"Comedy, Romance",Ken Kwapis,"Kim Barker, Tim Rasmussen, Vince Di Meglio","Mandy Moore, John Krasinski, Robin Williams",A reverend puts an engaged couple through a grueling marriage preparation course to see if they are meant to be married in his church.,English,"United States, Australia",1 nomination total,https://m.media-amazon.com/images/M/MV5BMTI5MTM2MjQ5NV5BMl5BanBnXkFtZTcwOTc3MDc0MQ@@._V1_SX300.jpg,25,5.3,"41,460",tt0762114,movie,N/A,"$43,799,818",N/A,N/A,True,5.3/10,7%,25/100,,,,,
Live Free or Die Hard,2007,PG-13,27 Jun 2007,128 min,"Action, Thriller",Len Wiseman,"John Carlin, Roderick Thorp, Mark Bomback","Bruce Willis, Justin Long, Timothy Olyphant","John McClane is forced to team up with a young computer hacker, Matt Farrell, to stop a master cyber-terrorist called Thomas Gabriel, who wants to shut down the entire nations computer infrastructure in a mass cyber attack.","English, Italian, French","United States, United Kingdom",3 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BNDQxMDE1OTg4NV5BMl5BanBnXkFtZTcwMTMzOTQzMw@@._V1_SX300.jpg,69,7.1,"431,987",tt0337978,movie,N/A,"$134,529,403",N/A,N/A,True,7.1/10,82%,69/100,,,,,
A Mighty Heart,2007,R,22 Jun 2007,108 min,"Biography, Drama, History",Michael Winterbottom,"John Orloff, Mariane Pearl","Dan Futterman, Angelina Jolie, Archie Panjabi",Mariane Pearl embarks on a frantic search to locate her journalist husband Daniel when he goes missing in Pakistan.,"English, French, Urdu, Arabic","United States, United Kingdom",4 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BMTg4OTk0NDc3MV5BMl5BanBnXkFtZTcwOTU0ODc0MQ@@._V1_SX300.jpg,74,6.6,"28,654",tt0829459,movie,N/A,"$9,176,787",N/A,N/A,True,6.6/10,79%,74/100,,,,,
Sicko,2007,PG-13,03 Jul 2007,123 min,"Documentary, Drama",Michael Moore,Michael Moore,"Michael Moore, Tucker Albrizzi, Tony Benn","A documentary comparing the highly profitable American health care industry to other nations, and HMO horror stories including shotgun deaths.","English, French, Spanish, Russian",United States,Nominated for 1 Oscar. 14 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BMWNkNjUxZjgtYjZiMy00ODI5LTkxYTktYTExMzdiOTZhZDNlXkEyXkFqcGc@._V1_SX300.jpg,74,8.0,"77,185",tt0386032,movie,N/A,"$24,540,079",N/A,N/A,True,8.0/10,91%,74/100,,,,,
Evan Almighty,2007,PG,22 Jun 2007,96 min,"Comedy, Family, Fantasy",Tom Shadyac,"Steve Koren, Mark O'Keefe, Steve Oedekerk","Steve Carell, Morgan Freeman, Lauren Graham",God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.,English,United States,2 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BMTUxMTEzODYxMV5BMl5BanBnXkFtZTcwNzQ4ODU0MQ@@._V1_SX300.jpg,37,5.4,"159,979",tt0413099,movie,N/A,"$100,462,298",N/A,N/A,True,5.4/10,24%,37/100,,,,,
1408,2007,PG-13,22 Jun 2007,104 min,"Fantasy, Horror, Mystery",Mikael Håfström,"Matt Greenberg, Scott Alexander, Larry Karaszewski","John Cusack, Samuel L. Jackson, Mary McCormack","Author Michael Enslin, who specializes in debunking paranormal occurrences, checks into the fabled room 1408 in the Dolphin Hotel in New York City, settles in, and soon confronts genuine terror.",English,United States,4 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BMjQ2ODkxMjc4OV5BMl5BanBnXkFtZTgwMTgzNzQyMTI@._V1_SX300.jpg,64,6.8,"309,249",tt0450385,movie,N/A,"$71,985,628",N/A,N/A,True,6.8/10,79%,64/100,,,,,
Broken English,2025,N/A,30 Aug 2025,96 min,Documentary,"Iain Forsyth, Jane Pollard",N/A,"Marianne Faithfull, Zawe Ashton, Nick Cave",N/A,N/A,United Kingdom,N/A,N/A,N/A,N/A,N/A,tt37660889,movie,N/A,N/A,N/A,N/A,True,,90%,,,,,,
Broken English,1981,R,21 Oct 1981,93 min,Drama,Michie Gleason,Michie Gleason,"Beverly Ross, Jacques Martial, Greta Ronningen","Follows the story of Sarah, who comes under fire from her family, friends and colleagues when she marries an African man, Maas. When she discovers that Maas is part of an underground group of South African freedom fighters, she mu...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjRmZWUwZjMtZTQ1OC00ZThmLTk2NjUtYjgxNjhmMWNlZmI2XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,N/A,7.0,60,tt0173697,movie,N/A,N/A,N/A,N/A,True,7.0/10,,,,,,,
Broken English,1996,NC-17,02 May 1997,92 min,"Drama, Romance",Gregor Nicholas,"Gregor Nicholas, Johanna Pigott, James Salter","Aleksandra Vujcic, Julian Arahanga, Rade Serbedzija","Ivan is the fierce patriarch of a family of Croatian refugees in Auckland. Nina is his daughter, ready to live on her own, despite his angry objections. Eddie is the Maori she takes as her lover. Nina works at a restaurant where E...","English, Serbo-Croatian, Maori, Japanese",New Zealand,7 wins,https://m.media-amazon.com/images/M/MV5BNzA2MjBjZjQtNWZkMi00OTg4LTgyZjMtN2YwZGZkODFkOTJiXkEyXkFqcGdeQXVyMjgxNjIyMDY@._V1_SX300.jpg,N/A,6.4,734,tt0115760,movie,N/A,"$541,377",N/A,N/A,True,6.4/10,82%,,,,,,
Broken English,2007,PG-13,16 Jul 2008,93 min,"Comedy, Drama, Romance",Zoe R. Cassavetes,Zoe R. Cassavetes,"Parker Posey, Drea de Matteo, Tim Guinee","Since college, Nora hasn't had much luck with men. Now in her 30s, she works in a NYC hotel going nowhere. That is, until she meets Julien.","English, French","France, Japan, United States",1 win & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTA2NzMwNjIwMDJeQTJeQWpwZ15BbWU3MDMyNDgzNTE@._V1_SX300.jpg,61,6.3,"7,430",tt0772157,movie,N/A,"$956,919",N/A,N/A,True,6.3/10,65%,61/100,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,,
Manufactured Landscapes,2006,Unrated,13 Jun 2007,86 min,Documentary,Jennifer Baichwal,Lucas Lackner,Edward Burtynsky,Photographer Edward Burtynsky travels the world observing changes in landscapes due to industrial work and manufacturing.,"English, Cantonese, Mandarin",Canada,4 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BODUyMzUzNDQ2Nl5BMl5BanBnXkFtZTcwNDc3OTQ1MQ@@._V1_SX300.jpg,79,7.2,"3,081",tt0832903,movie,N/A,"$240,239",N/A,N/A,True,7.2/10,84%,79/100,,,,,
Nancy Drew,2007,PG,15 Jun 2007,99 min,"Comedy, Crime, Family",Andrew Fleming,"Andrew Fleming, Tiffany Paulsen, Mildred Wirt Benson","Emma Roberts, Tate Donovan, Max Thieriot","Teen detective Nancy Drew accompanies her father on a business trip to Los Angeles, where she happens upon clues to a murder mystery involving a movie star.",English,United States,7 nominations total,https://m.media-amazon.com/images/M/MV5BNWRiMWViNjQtNDY1Yy00ZDIzLWFjMTMtMzE4MmE4ZGE2NWQ2XkEyXkFqcGc@._V1_SX300.jpg,53,5.9,"22,191",tt0479500,movie,N/A,"$25,661,055",N/A,N/A,True,5.9/10,50%,53/100,,,,,
Nancy Drew,2002,TV-G,15 Dec 2002,87 min,Mystery,James Frawley,"Mildred Wirt Benson, Ami Canaan Mann","Maggie Lawson, Jill Ritchie, Lauren Birkell","In this movie, Maggie Lawson plays Nancy Drew. A young woman who has just entered college. While rushing with her friends Bess and George, the star football player, Jesse, goes into a coma. Nancy can sense there is something more ...",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BZjk3ODRjNGMtYzA2YS00ZGExLThhOTAtNjE1NmU4MjA5MjE4XkEyXkFqcGc@._V1_SX300.jpg,N/A,5.5,565,tt0329414,movie,N/A,N/A,N/A,N/A,True,5.5/10,,,,,,,
Hostel: Part II,2007,R,08 Jun 2007,94 min,Horror,Eli Roth,Eli Roth,"Lauren German, Heather Matarazzo, Bijou Phillips",Three American college students studying abroad are lured to a Slovakian hostel and discover the grim reality behind it.,"English, Slovak, Italian, Czech","United States, Czech Republic",10 nominations total,https://m.media-amazon.com/images/M/MV5BMjA1NTQ3MjI2N15BMl5BanBnXkFtZTYwNTQ4MTI3._V1_SX300.jpg,46,5.5,"100,286",tt0498353,movie,N/A,"$17,609,452",N/A,N/A,True,5.5/10,44%,46/100,,,,,
Ocean's Thirteen,2007,PG-13,08 Jun 2007,122 min,"Crime, Thriller",Steven Soderbergh,"Brian Koppelman, David Levien, George Clayton Johnson","George Clooney, Brad Pitt, Matt Damon","Danny Ocean rounds up the boys for a third heist after casino owner Willy Bank double-crosses one of the original eleven, Reuben Tishkoff.","English, Mandarin, Spanish, French",United States,1 win & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMTMyNTc1NzY5MV5BMl5BanBnXkFtZTcwNDM4NTQzMw@@._V1_SX300.jpg,62,6.9,"382,688",tt0496806,movie,N/A,"$117,154,724",N/A,N/A,True,6.9/10,70%,62/100,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,,
Crazy Love,2023,18+,21 Jul 2023,109 min,"Action, Drama",Drxp,"Drxp, HeadHuncho, Kiana Livingston","Beanie, DJGotJokes, HeadHuncho","Although everything appears to be good at the shop, the Richardsons are actually struggling to get along at home. Things take a turn for the worse when a wealthy new man walks into the shop and catches the eyes of the youngest Ric...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BM2NkYzQyNDYtYzQzMS00NDU0LTlhODAtNjE2YTIwODUxZmFiXkEyXkFqcGdeQXVyMTY4MzI2OTAx._V1_SX300.jpg,N/A,N/A,17,tt28488203,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Crazy Love,2007,PG-13,01 Jun 2007,92 min,"Documentary, Romance","Dan Klores, Fisher Stevens",Dan Klores,"Burt Pugach, Linda Pugach, Bob Janoff",The bizarre true story of Linda Riss and Burt Pugach.,English,United States,5 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMTUyNjcwMTYwOV5BMl5BanBnXkFtZTcwMTA4OTc0MQ@@._V1_SX300.jpg,69,7.0,"2,916",tt0790706,movie,N/A,"$301,027",N/A,N/A,True,7.0/10,79%,69/100,,,,,
Mr. Brooks,2007,R,01 Jun 2007,120 min,"Crime, Drama, Mystery",Bruce A. Evans,"Bruce A. Evans, Raynold Gideon","Kevin Costner, Demi Moore, Dane Cook",A well-respected businessman is sometimes controlled by his murder and mayhem-loving alter ego.,English,United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BMTQyNTk5MTMxN15BMl5BanBnXkFtZTcwNTc0ODI1NA@@._V1_SX300.jpg,45,7.2,"162,228",tt0780571,movie,N/A,"$28,549,298",N/A,N/A,True,7.2/10,56%,45/100,,,,,
Gracie,2018,N/A,03 Mar 2018,70 min,"Drama, Fantasy, Mystery",Jane A. Foster,Jane A. Foster,"Aurélie Amblard, Tyrone Bacchus, Sylvie Bolioli","2am Waterloo Bridge. Despairing, alone, Gracie, (29) stares into the river, contemplates death. On the south side, Ellie (17) runs in fear for her life to escape a deadly pursuer. When Ellie runs onto the bridge and begs Gracie fo...",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BM2U0MjMzMWYtY2UyOS00MTIyLWIzMzktOGRjOGY4YjhhMDgzXkEyXkFqcGdeQXVyMTczMDQ3NDY@._V1_SX300.jpg,N/A,6.8,41,tt1196939,movie,N/A,N/A,N/A,N/A,True,6.8/10,,,,,,,
Gracie,2007,PG-13,01 Jun 2007,95 min,"Biography, Drama, Sport",Davis Guggenheim,"Lisa Marie Petersen, Karen Janszen, Andrew Shue","Carly Schroeder, Andrew Shue, Elisabeth Shue","Grace, a football enthusiast, fights an uphill battle to play in the boys' varsity team of her high school and gain support for women's soccer while dealing with the death of her brother.",English,United States,1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BODBkNDljY2UtNGUzYi00ZjNkLTlkMzYtMTMyZTQxMTU5NTkxXkEyXkFqcGc@._V1_SX300.jpg,52,6.1,"4,365",tt0441007,movie,N/A,"$2,956,339",N/A,N/A,True,6.1/10,62%,52/100,,,,,
Knocked Up,2007,R,01 Jun 2007,129 min,"Comedy, Romance",Judd Apatow,Judd Apatow,"Seth Rogen, Katherine Heigl, Paul Rudd","For fun-loving party animal Ben Stone, the last thing he ever expected was for his one-night stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child.",English,United States,8 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BYmIyMDA5YzgtZmNhMC00YWNlLTgwYjItOTc0ZGNjNTcwNzAxXkEyXkFqcGc@._V1_SX300.jpg,85,6.9,"393,663",tt0478311,movie,N/A,"$148,768,917",N/A,N/A,True,6.9/10,90%,85/100,,,,,
Ten Canoes,2006,Unrated,29 Jun 2006,90 min,"Adventure, Comedy, Drama","Rolf de Heer, Peter Djigirr",Rolf de Heer,"Crusoe Kurddal, Jamie Gulpilil, Richard Birrinbirrin","In Australia's Northern Territory, a man tells us a story of his people and his land. It's about an older man, Minygululu, who has three wives and realizes that his younger brother Dayindi may try to steal away the youngest wife.","Aboriginal, English",Australia,17 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BMTkzOTQ1NTA0OV5BMl5BanBnXkFtZTcwNzk3MTg0MQ@@._V1_SX300.jpg,82,6.9,"5,158",tt0466399,movie,N/A,"$283,654",N/A,N/A,True,6.9/10,98%,82/100,,,,,
Bug,2020,N/A,04 Jun 2020,10 min,"Short, Horror","Alasdair C. Melrose, Amy Mitchell","Alasdair C. Melrose, Amy Mitchell","Jake Alun, Holly de Jong, Jonna Groneberg",A contaminated sandwich spawns disaster in this psychosexual hemipteran lockdown horror.,English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BNDk5ZGFlMmQtODE3Ny00ZTU3LWE2ZDYtN2RkNDU0NjgxZTQ3XkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt33545286,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Bug,2002,N/A,22 Jan 2004,86 min,Comedy,"Phil Hay, Matt Manfredi",Matt Manfredi,"John Carroll Lynch, Segun Ajaga, Megan Cavanagh",An eclectic group of individuals in Silverlake are propelled by a series of cause-and-effect chain reactions to a common destiny.,English,United States,5 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BMjA2NDYyNTQ5N15BMl5BanBnXkFtZTcwODI5ODgxMQ@@._V1_SX300.jpg,N/A,7.1,"1,164",tt0277615,movie,N/A,N/A,N/A,N/A,True,7.1/10,,,,,,,
Bug,2020,N/A,30 Oct 2020,6 min,"Short, Horror, Sci-Fi",Jacob Weldon,Jacob Weldon,N/A,N/A,English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BODkzNzU2ZTktMmYxNi00ZDA5LWJmOTMtYzBjYTk4MDMwZTZmXkEyXkFqcGdeQXVyMjI1NjI2NjQ@._V1_SX300.jpg,N/A,N/A,N/A,tt13929290,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,,
Bug,2023,N/A,05 Oct 2023,N/A,"Short, Horror, Thriller",Stu Silverman,"Kate Douglas, Stu Silverman","Najarra Townsend, Keisha Thompson, Micah Fitzgerald",An isolated young woman slides along the razor's edge of sanity as she imagines who or what might be watching her through the walls.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BODVmMDJhZTktZDZhOC00YmNjLWEzMTgtMGJlMjE1YjdjNjIwXkEyXkFqcGdeQXVyMDUwMjE5Mw@@._V1_SX300.jpg,N/A,N/A,N/A,tt29376034,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Bug,2022,N/A,01 Oct 2022,N/A,Horror,"Coral Amiga, Nicole Hartley","Coral Amiga, Nicole Hartley","Bethany Dodd, Chloe Pirrie",A frustrated mother forces her misbehaving daughter out of the car and loses her in a mysterious forest.,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMTJlNjc1MWYtYjFlMC00NzZmLTgyMjctNGMwMjZlNzFmMzczXkEyXkFqcGdeQXVyMzE5NTgxMjA@._V1_SX300.jpg,N/A,N/A,28,tt22094444,episode,,,,,True,,,,,3,5,tt22094444,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,,
Bug,2017,PG-13,N/A,95 min,"Drama, Mystery, Thriller",Parker Dorris,Parker Dorris,"Glenn Morshower, Gene Jones, Heather Kafka","Bug is a 12-year-old girl who finds out that her grandpa, the town's retired sheriff, may have committed and covered up a racially motivated murder years ago. Now Bug is out to right an old wrong.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYTA5ZWJjYzgtMDEyMC00MGM0LWFlZWEtODAxYmI3MWQ0ODljXkEyXkFqcGdeQXVyNjg0MzUyNTg@._V1_SX300.jpg,N/A,4.7,78,tt3749926,movie,N/A,N/A,N/A,N/A,True,4.7/10,,,,,,,
Bug,1975,PG,06 Jun 1975,99 min,"Horror, Mystery, Sci-Fi",Jeannot Szwarc,"Thomas Page, William Castle","Bradford Dillman, Joanna Miles, Richard Gilliland","An earthquake releases a strain of mutant cockroaches with the ability to start fires, which proceed to cause destructive chaos in a small town. The studies carried out by scientist James Parmiter, however, reveal an intent with m...",English,United States,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BYjFlM2QxZWItMjlkZi00ZDI5LWI1NzctMzg3N2Q1MjhjZDE3XkEyXkFqcGc@._V1_SX300.jpg,42,5.2,"2,726",tt0072750,movie,N/A,"$3,602,023",N/A,N/A,True,5.2/10,43%,42/100,,,,,
Bug,2006,R,25 May 2007,102 min,"Drama, Horror, Thriller",William Friedkin,Tracy Letts,"Ashley Judd, Michael Shannon, Harry Connick Jr.",An unhinged war veteran holes up with a lonely woman in a spooky Oklahoma motel room. The line between reality and delusion is blurred as they discover a bug infestation.,English,"United States, Germany",1 win & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMjIzOTUzMDkzMV5BMl5BanBnXkFtZTcwMDY2MjMzMw@@._V1_SX300.jpg,62,6.1,"39,008",tt0470705,movie,N/A,"$7,025,810",N/A,N/A,True,6.1/10,62%,62/100,,,,,
Severance,2022,N/A,N/A,11 min,"Short, Drama",Zachary Jones,Zachary Jones,"Joey Balliro, Aaron Donahue, Isaac Liu","In fear of being outed as a gay male at work, Matt switches personalities based on the environment he finds himself inhabiting. He has spent his life keeping these two worlds separate, but what happens when they collide?",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNmIyNzA5OTctZGRlMC00MzMzLWExNjMtMmM0MmFiNjcwMjNlXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt15567998,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
