Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Rating_InternetMovieDatabase,Rating_Metacritic,Error,Rating_RottenTomatoes,Season,Episode,seriesID,totalSeasons
Shelby Oaks,2024,R,24 Oct 2025,91 min,"Horror, Thriller",Chris Stuckmann,"Sam Liz, Chris Stuckmann","Michael Beach, Keith David, Sarah Voigt",A woman's desperate search for her long-lost sister falls into obsession upon realizing that the imaginary demon from their childhood may have been real.,English,"Belgium, United States",N/A,https://m.media-amazon.com/images/M/MV5BOWQ1MjA5YzItMmE2NC00YWZkLWEwZjMtOTIxMDgyYmU2MTRmXkEyXkFqcGc@._V1_SX300.jpg,41,5.8,"3,097",tt14999684,movie,N/A,"$3,023,334",N/A,N/A,True,5.8/10,41/100,,,,,,
Last Days,2025,N/A,N/A,N/A,Drama,Justin Lin,Ben Ripley,"Naveen Andrews, Ken Leung, Ciara Bravo","A 26-year-old missionary journeys to the remote North Sentinel Island, determined to convert an isolated tribe, while authorities attempt to intervene before potential harm occurs.",N/A,United States,N/A,N/A,N/A,N/A,N/A,tt27977862,movie,N/A,N/A,N/A,N/A,True,,,,33%,,,,
Last Days,2014,N/A,27 Sep 2014,3 min,"Short, Crime",Kathryn Bigelow,Scott Z. Burns,N/A,The connection between terrorism and the poaching of elephants in Africa.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTk4ODk4NTA2NF5BMl5BanBnXkFtZTgwMTA5MTQxNTE@._V1_SX300.jpg,N/A,7.3,239,tt4532536,movie,N/A,N/A,N/A,N/A,True,7.3/10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,Incorrect IMDb ID.,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,Error getting data.,,,,,
Blue Moon,2000,PG-13,16 Jan 2000,89 min,"Comedy, Drama",John A. Gallagher,"Steve Carducci, John A. Gallagher","Ben Gazzara, Rita Moreno, Alanna Ubach",A young couple from the city takes a trip to the country.,English,United States,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMTYwODk2Nzc3MF5BMl5BanBnXkFtZTcwNjk2MzkxMQ@@._V1_SX300.jpg,29,5.6,322,tt0225196,movie,N/A,"$76,544",N/A,N/A,True,5.6/10,29/100,,20%,,,,
Blue Moon,2005,G,25 Dec 2005,108 min,"Drama, Romance",Joel Lamangan,Allan Tijamo,"Eddie Garcia, Christopher De Leon, Dennis Trillo","Can a love that bloomed under a Blue Moon truly last forever? In a quiet house in Boston, Massachusetts, elderly Filipina Corazon is writing a love letter. Knowing she has little time left, she is writing to every man named Manuel...","Finnish, Filipino, Tagalog",Philippines,23 wins & 25 nominations,https://m.media-amazon.com/images/M/MV5BZjU1MjYzMzctYzUyMi00OWQzLTg1NmEtMTdmMTcyNTZjNzQzXkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg,N/A,7.9,79,tt0479725,movie,N/A,N/A,N/A,N/A,True,7.9/10,,,,,,,
Blue Moon,2015,N/A,01 Nov 2015,12 min,"Short, Comedy, Horror",Martyn Pick,Airell Anthony Hayles,"Madalina Bellariu Ion, Brian Hanford, Marina Lazaris","Charles, porno web site host of European Doggers, takes beautiful Romanian girl Nicoletta to the woods for a ""dogging"" shoot. He soon learns that the light of a full moon will turn it into a very different kind of film.",English,United Kingdom,1 nomination,https://m.media-amazon.com/images/M/MV5BMTQ3NTM5ODM1N15BMl5BanBnXkFtZTgwMzEzODI0NTE@._V1_SX300.jpg,N/A,5.4,47,tt3651456,movie,N/A,N/A,N/A,N/A,True,5.4/10,,,,,,,
Black Phone 2,2025,R,17 Oct 2025,114 min,Horror,Scott Derrickson,"Joe Hill, Scott Derrickson, C. Robert Cargill","Ethan Hawke, Mason Thames, Madeleine McGraw","As Finn, now 17, struggles with life after his captivity, his sister begins receiving calls in her dreams from the black phone and seeing disturbing visions of three boys being stalked at a winter camp known as Alpine Lake.","English, Spanish","United States, Canada",N/A,https://m.media-amazon.com/images/M/MV5BMTVjMzNmZGYtOWU5NS00NDYzLThhZTktZGNlODIwYWVhMDRmXkEyXkFqcGc@._V1_SX300.jpg,61,6.2,"32,471",tt29644189,movie,N/A,"$75,087,725",N/A,N/A,True,6.2/10,61/100,,73%,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,Incorrect IMDb ID.,,,,,
Blue Moon,2018,N/A,08 Aug 2018,85 min,Thriller,Stefen Harris,Stefen Harris,"Mark Hadlow, Jed Brophy, Olivia Hadlow",Horace Jones is flat broke and working a dead boring night-shift. When half a million dollars of stolen drug money drops miraculously into his hands he makes a snap decision that will change everything.,English,New Zealand,10 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMzRlNjU5ZWItMmFmYy00MjZjLTg4MzYtYzM0ZTcxZTI4YzlhXkEyXkFqcGdeQXVyMTg2NjYzOA@@._V1_SX300.jpg,N/A,7.4,64,tt8124376,movie,N/A,N/A,N/A,N/A,True,7.4/10,,,,,,,
Blue Moon,2018,N/A,04 Dec 2018,12 min,"Short, Music, Mystery",Paula Bourgie,"Paula Bourgie, Gabryèle Guillaume, Frédérique Hamel","Justin Johnson, Olivia Lepore, Minji Suh","As a desperately uninspired band struggles to come up with an original song, their lead singer unexpectedly finds inspiration in a curious house that appears to have a mind of its own.",English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BMGI0NzllMGEtZjU2ZS00NjM5LTk4OWYtNDUyYzllYzYyMTljXkEyXkFqcGdeQXVyNjU0NzA3NTg@._V1_SX300.jpg,N/A,N/A,N/A,tt13870850,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
BLUE MOON,2021,N/A,N/A,N/A,Short,Emily Ruhl,Emily Ruhl,"Olivia Berris, Audra Rae Thornton","BLUE MOON is a vibrant vignette of a love story that takes place in a single night. It follows two young women through Los Angeles, as they explore the depths of themselves and one another. A beautiful portrait of how nurturing mu...",English,United States,53 wins & 37 nominations,https://m.media-amazon.com/images/M/MV5BMGJiOTUyMmMtMTVlMi00NmFmLWE3MjktYTkwZGQ5Zjg2ZjBkXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt14723180,movie,N/A,N/A,N/A,N/A,True,,,,67%,,,,
Blue Moon,2022,N/A,30 Apr 2022,83 min,Drama,Matthew Alson Thornbury,Matthew Alson Thornbury,"Matthew Alson Thornbury, John Orr, T.A. Taylor",A semi-autobiographical tale of a man who travels back to Eastern Kentucky to deal with the death of his estranged father.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzUwNWFhYTItMjdhNS00YzUyLWI5NDAtZDA3ZjQ5ODE5MzMyXkEyXkFqcGdeQXVyNTQzNTIwMQ@@._V1_SX300.jpg,N/A,9.2,17,tt11896740,movie,N/A,N/A,N/A,N/A,True,9.2/10,,,,,,,
Blue Moon,2025,R,18 Feb 2025,100 min,"Biography, Drama, Music",Richard Linklater,Robert Kaplow,"Ethan Hawke, Margaret Qualley, Bobby Cannavale","Tells the story of Lorenz Hart's struggles with alcoholism and mental health as he tries to save face during the opening of ""Oklahoma!"".",English,United States,1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMGUwNWMyMTAtZDUyZS00NGM0LWJhMzgtMTE4OGI4Y2Q4NWRkXkEyXkFqcGc@._V1_SX300.jpg,76,N/A,180,tt32536315,movie,N/A,N/A,N/A,N/A,True,,76/100,,88%,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,Incorrect IMDb ID.,,,,,
Blue Moon,1999,N/A,11 Apr 1999,96 min,Drama,Ron Lagomarsino,"Luanne Rice, Maria Nation","Sharon Lawrence, Jeffrey Nordling, Kim Hunter",A fishing family in Maine face domestic heartbreak and financial crisis.,English,"Canada, United States",N/A,https://m.media-amazon.com/images/M/MV5BZjQ5MDg3YjctZWRjYy00NzU0LTk5ZjgtOWZlZjRmZTgxOTY5XkEyXkFqcGc@._V1_SX300.jpg,N/A,5.4,214,tt0189397,movie,N/A,N/A,N/A,N/A,True,5.4/10,,,,,,,
Truth & Treason,2025,PG-13,17 Oct 2025,121 min,"Drama, History, Thriller",Matt Whitaker,"Ethan Vincent, Matt Whitaker","Ewan Horrocks, Rupert Evans, Ferdinand McKay","When loyalty to country becomes loyalty to a lie, one teen risks everything to expose the truth. With the Gestapo closing in, he must decide what it really means to be a good German.",English,"Lithuania, United States",N/A,https://m.media-amazon.com/images/M/MV5BZTk5MjI4MWEtMjczMy00YWNlLWI0NTAtYTRiZjdiODBjZThlXkEyXkFqcGc@._V1_SX300.jpg,N/A,8.0,699,tt21825416,movie,N/A,"$5,242,077",N/A,N/A,True,8.0/10,,,86%,,,,
The Mastermind,2025,R,17 Oct 2025,110 min,Crime,Kelly Reichardt,Kelly Reichardt,"Bill Camp, Gaby Hoffmann, Josh O'Connor","In 1970, failed architect James Blaine Mooney and cohorts wander into a museum in broad daylight and steal four paintings. When holding onto the art proves more difficult than stealing them, Mooney is relegated to a life on the run.",English,United States,7 nominations total,https://m.media-amazon.com/images/M/MV5BYmEzYzMwZDUtMjdiYi00YmRlLWJiNjYtYzY2N2E3ZWZjOTcxXkEyXkFqcGc@._V1_SX300.jpg,80,6.3,"1,481",tt33455099,movie,N/A,"$144,989",N/A,N/A,True,6.3/10,80/100,,91%,,,,
Good Fortune,2009,Not Rated,01 Jun 2009,73 min,Documentary,Landon Van Soest,N/A,N/A,"Through intimate portraits of three individuals living in the poorest areas of Kenya, Good Fortune explores how massive, international efforts to alleviate poverty in Africa may be undermining the very communities they aim to bene...",English,United States,4 wins,https://m.media-amazon.com/images/M/MV5BMjA1MjY3MjIyNV5BMl5BanBnXkFtZTgwMDYwMzA2MDE@._V1_SX300.jpg,N/A,7.9,39,tt1337048,movie,N/A,N/A,N/A,N/A,True,7.9/10,,,,,,,
Good Fortune,2016,PG,22 Jun 2017,86 min,"Documentary, Biography, Family","Joshua Tickell, Rebecca Harrell Tickell",Johnny O'Hara,"Dan Aykroyd, Robert Cromeans, Eloise DeJoria","The inspiring true life story of billionaire and philanthropist John Paul DeJoria, the successful entrepreneur who cofounded Paul Mitchell hair products and Patrón Tequila.",English,United States,2 wins total,https://m.media-amazon.com/images/M/MV5BMjEwMWUyMTItYzM4OS00M2JiLTgyODQtYTU4MDA2ZWViM2Y5XkEyXkFqcGc@._V1_SX300.jpg,53,7.6,91,tt3555216,movie,N/A,N/A,N/A,N/A,True,7.6/10,53/100,,75%,,,,
Good Fortune,2025,R,17 Oct 2025,97 min,"Action, Comedy, Fantasy",Aziz Ansari,Aziz Ansari,"Seth Rogen, Aziz Ansari, Keke Palmer",A well-meaning but rather inept angel named Gabriel meddles in the lives of a struggling gig worker and a wealthy venture capitalist.,English,United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BYjk3ZTgwZmUtOTVlMy00ODExLTkzMTUtYzRhM2FjNGYyMzZkXkEyXkFqcGc@._V1_SX300.jpg,62,6.9,"5,350",tt27543578,movie,N/A,"$12,964,684",N/A,N/A,True,6.9/10,62/100,,77%,,,,
Kiss of the Spider Woman,1985,R,26 Jul 1985,120 min,Drama,Hector Babenco,"Manuel Puig, Leonard Schrader","William Hurt, Raul Julia, Sonia Braga",A gay man and a political prisoner are together in a prison. The gay man narrates the stories of two fake movies and his own life.,"English, French, Portuguese, German","Brazil, United States",Won 1 Oscar. 14 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BMTUzOTg0MDEwOV5BMl5BanBnXkFtZTcwNTg1OTM2MQ@@._V1_SX300.jpg,80,7.3,"18,166",tt0089424,movie,N/A,"$17,005,229",N/A,N/A,True,7.3/10,80/100,,87%,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,Incorrect IMDb ID.,,,,,
Roofman,2025,R,10 Oct 2025,126 min,"Biography, Crime, Drama",Derek Cianfrance,"Derek Cianfrance, Kirt Gunn","Channing Tatum, Tony Revolori, Kirana Kuic","A charismatic criminal, while on the run from the police, hides in a hidden space of a toy store. There, he adopts a new identity and becomes involved with an employee, beginning a relationship as unlikely as it is risky.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYjU4OTkyN2MtYjI0Mi00MjE3LWFkNTktZDNjODc3OTdiMDdiXkEyXkFqcGc@._V1_SX300.jpg,66,7.2,"18,856",tt4627382,movie,N/A,"$22,680,644",N/A,N/A,True,7.2/10,66/100,,86%,,,,
Soul on Fire,2025,PG,10 Oct 2025,111 min,"Biography, Drama",Sean McNamara,Gregory Poirier,"William H. Macy, John Corbett, Stephanie Szostak","After suffering a accident, a young boy ends up relying on his family, his faith, and his community in his fight for survival.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYTVlNDY1OWUtMjFmNy00MjA4LThiNWEtNzRjMGM2MGUzNjZmXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt28078628,movie,N/A,N/A,N/A,N/A,True,,,,80%,,,,
Kiss of the Spider Woman,2025,R,10 Oct 2025,129 min,"Drama, Musical",Bill Condon,"Bill Condon, Terrence McNally, Manuel Puig","Diego Luna, Tonatiuh, Jennifer Lopez","Valentín, a political prisoner, shares a cell with Molina, convicted for public indecency. An unlikely bond forms as Molina recounts a Hollywood musical plot starring Ingrid Luna.","English, Spanish","United States, Mexico",4 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BYzBkNmYzN2MtNDVmMi00ZjQ0LTk0MDYtMDMwOGVmYjBiODk1XkEyXkFqcGc@._V1_SX300.jpg,65,N/A,"2,404",tt30400277,movie,N/A,"$1,625,156",N/A,N/A,True,,65/100,,77%,,,,
The Smashing Machine,2025,R,03 Oct 2025,123 min,"Action, Biography, Drama",Benny Safdie,"Mark Kerr, Benny Safdie","Dwayne Johnson, Kenny Rice, Jerin Valel","The story of mixed-martial arts and UFC champion, Mark Kerr.","English, Japanese","United States, Japan, Canada",1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BOWYxZTM1ZGMtMjg5MC00NzcyLTk0ZTEtZWI0ZThkNDJiYjZmXkEyXkFqcGc@._V1_SX300.jpg,65,6.5,"45,519",tt11214558,movie,N/A,"$11,411,388",N/A,N/A,True,6.5/10,65/100,,70%,,,,
The Smashing Machine,2002,R,01 May 2002,93 min,"Documentary, Sport",John Hyams,N/A,"Mark Kerr, Mark Coleman, Dawn Staples","This is a documentary that follows M.M.A. great Mark Kerr, and his string of amazing victories in the ring.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTg3MTM4NDU5N15BMl5BanBnXkFtZTcwOTUwMzQyMQ@@._V1_SX300.jpg,N/A,7.7,"1,974",tt0320512,movie,N/A,N/A,N/A,N/A,True,7.7/10,,,,,,,
One Battle After Another,2025,R,26 Sep 2025,161 min,"Action, Crime, Drama",Paul Thomas Anderson,"Paul Thomas Anderson, Thomas Pynchon","Teyana Taylor, Leonardo DiCaprio, Regina Hall","When their evil enemy resurfaces after 16 years, a group of ex-revolutionaries reunite to rescue the daughter of one of their own.","English, Spanish",United States,4 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMzBkZmQ0NjMtNTZlMy00ZjdlLTg5ODUtYWFlNGM0YzE3MTg0XkEyXkFqcGc@._V1_SX300.jpg,95,8.3,"137,751",tt30144839,movie,N/A,"$69,629,424",N/A,N/A,True,8.3/10,95/100,,95%,,,,
Dead of Winter,2014,N/A,N/A,91 min,Thriller,Robert Rice,Michael Hamilton-Wright,"Dave Barclay, John Boylan, John Carew",In the wilderness of Colorado teams compete in a Geocache treasure hunt that suddenly becomes a deadly game of survival.,English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BOTY5NTQ5NTQ5Nl5BMl5BanBnXkFtZTgwMTgxODQ0MTE@._V1_SX300.jpg,N/A,4.9,358,tt2728984,movie,N/A,N/A,N/A,N/A,True,4.9/10,,,,,,,
The Strangers: Chapter 2,2025,R,26 Sep 2025,98 min,"Horror, Mystery",Renny Harlin,"Alan R. Cohen, Alan Freedland","Rachel Shenton, Gabriel Basso, Madelaine Petsch","Left stranded in a small town with no way out, Maya must once again face a night of terror courtesy of three deadly killers whose rampage she must put to an end.",English,"Spain, United States, Slovakia, Canada, United Kingdom",N/A,https://m.media-amazon.com/images/M/MV5BMDY4ZTJmZmQtNWNmMS00MjEwLWI1ZTYtNzEzNGFjZTBhMzE4XkEyXkFqcGc@._V1_SX300.jpg,28,N/A,"5,247",tt28671344,movie,N/A,"$14,732,759",N/A,N/A,True,,28/100,,21%,,,,
Eleanor the Great,2025,PG-13,26 Sep 2025,98 min,"Drama, War",Scarlett Johansson,Tory Kamen,"Chiwetel Ejiofor, June Squibb, Erin Kellyman","After a devastating loss, witty and proudly troublesome Eleanor Morgenstein, 94, tells a tale that takes on its own dangerous life.",English,United States,1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BZmJlMzQwM2MtZjZkNy00OTA3LTk1YzYtNzllNWE2MjVhZjU1XkEyXkFqcGc@._V1_SX300.jpg,51,6.7,"2,520",tt30268321,movie,N/A,"$2,521,688",N/A,N/A,True,6.7/10,51/100,,66%,,,,
Dead of Winter,2025,R,21 Oct 2025,98 min,"Action, Thriller",Brian Kirk,"Nicholas Jacobson-Larson, Dalton Leeb","Judy Greer, Marc Menchaca, Emma Thompson","A woman, travelling alone through snowbound northern Minnesota, interrupts the kidnapping of a teenage girl. Hours from the nearest town and with no phone service, she realizes that she is the young girl's only hope.",English,"Germany, Canada, United States",2 nominations total,https://m.media-amazon.com/images/M/MV5BYjJiNTkxMDMtYWZjZC00NDJkLTliNDQtZjIzMTAxZGI2N2NmXkEyXkFqcGc@._V1_SX300.jpg,69,6.6,"1,457",tt7574556,movie,N/A,"$1,672,694",N/A,N/A,True,6.6/10,69/100,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,Incorrect IMDb ID.,,,,,
Dead of Winter,1987,R,06 Feb 1987,100 min,"Drama, Horror, Thriller",Arthur Penn,"Marc Shmuger, Mark Malone, Anthony Gilbert","Mary Steenburgen, Roddy McDowall, Jan Rubes","A fledgling actress is lured to a remote mansion for a screen-test, soon discovering she is actually a prisoner in the middle of a blackmail plot.",English,United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BZmJhNjk3NzktOWQ4Zi00NjEzLWExM2UtZmUxNjExNGEwYmNmXkEyXkFqcGc@._V1_SX300.jpg,55,6.2,"4,967",tt0092842,movie,N/A,"$2,413,427",N/A,N/A,True,6.2/10,55/100,,77%,,,,
Him,2017,N/A,08 Jul 2017,13 min,"Short, Drama",Christian Coppola,N/A,"Elias D'Onofrio, Dylan Doornbos Hayes, Chelsea Lopez","Max, a deaf 12-year-old, becomes infatuated with his big sister's boyfriend during a weekend retreat.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMmZkMzYzZGEtZDljNy00YzZkLWFiNmUtZDkzMzQ2YTgxMjAzXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,16,tt5991070,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
