Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error,Rating_InternetMovieDatabase,Rating_RottenTomatoes,Rating_Metacritic,totalSeasons,Season,Episode,seriesID
Home,2008,PG-13,01 May 2009,84 min,Drama,Mary Haverstick,Mary Haverstick,"Marcia Gay Harden, Marian Seldes, Michael Gaston","Inga is a poet. She wants to buy and restore a house she is drawn to that reminds her of her childhood home, but her distant husband Hermann sees little value in it or many of the things Inga loves.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BN2FlZmYxNzYtMzg3MC00MzFiLThkMmItNDkwNzdlOTBkYjgwXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,N/A,5.3,209,tt0822388,movie,N/A,"$9,478",N/A,N/A,True,,5.3/10,93%,,,,,
Home,2003,N/A,06 Oct 2003,60 min,Drama,Richard Curson Smith,"J.G. Ballard, Richard Curson Smith","Antony Sher, Matilda Ziegler, Deborah Findlay","A disturbing, darkly comic tale of a man who attempts to sever all contact with the outside world, by simply staying at home. As Gerald Ballantyne rids himself of the surface clutter in his life he is lead to a startling discovery...",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BNzY3YmIxYTMtMmFjNS00MmEyLWJmNzAtOTU4ZWRiZGQwNzVmXkEyXkFqcGdeQXVyODQwOTczMDM@._V1_SX300.jpg,N/A,6.9,108,tt0396641,movie,N/A,N/A,N/A,N/A,True,,6.9/10,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,Incorrect IMDb ID.,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,Incorrect IMDb ID.,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,Incorrect IMDb ID.,,,,,,,
Home,2015,PG,27 Mar 2015,94 min,"Animation, Adventure, Comedy",Tim Johnson,"Tom J. Astle, Matt Ember, Adam Rex","Jim Parsons, Rihanna, Steve Martin","Oh, a lovable misfit alien, runs away from his planet and takes shelter on Earth, where he befriends Tip, an adventurous young girl who is on a quest to find her displaced mother Lucy.","English, French","United States, India",3 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BMjExOTQ4MDMyMV5BMl5BanBnXkFtZTgwMTE3NDM2MzE@._V1_SX300.jpg,55,6.5,"118,719",tt2224026,movie,N/A,"$177,397,510",N/A,N/A,True,,6.5/10,53%,55/100,,,,
The Gunman,2015,R,20 Mar 2015,115 min,"Action, Crime, Mystery",Pierre Morel,"Jean-Patrick Manchette, Don MacPherson, Pete Travis","Sean Penn, Idris Elba, Jasmine Trinca","A sniper on a mercenary assassination team kills the minister of mines in the Democratic Republic of the Congo. His kill shot forces him into hiding. After returning to the Congo years later, he becomes the target of a hit squad h...","English, Spanish","United States, Spain, United Kingdom, France",1 nomination total,https://m.media-amazon.com/images/M/MV5BMTk5NTYzMDAxOF5BMl5BanBnXkFtZTgwNjY3NzMwNDE@._V1_SX300.jpg,39,5.8,"44,444",tt2515034,movie,N/A,"$10,664,749",N/A,N/A,True,,5.8/10,15%,39/100,,,,
The Gunman,1952,Approved,13 Apr 1952,52 min,Western,Lewis D. Collins,Fred Myton,"Whip Wilson, Fuzzy Knight, Rand Brooks","Dan Forester, a small town New Mexico newspaper editor, spots an outlaw wanted for murder. He sends word to Whip Wilson, a Texas lawman anxious to make an arrest. When Wilson arrives, he discovers the town is ruled by an outlaw ga...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMmY5NDg5YzktNDRiZS00NTU0LWEzOGItNDdkOWVmYTVkNjQzXkEyXkFqcGc@._V1_SX300.jpg,N/A,5.8,60,tt0044678,movie,N/A,N/A,N/A,N/A,True,,5.8/10,,,,,,
Do You Believe?,2015,PG-13,20 Mar 2015,120 min,Drama,Jon Gunn,"Chuck Konzelman, Cary Solomon","Mira Sorvino, Sean Astin, Alexa PenaVega","When a pastor is shaken by the visible faith of a street-corner preacher, he is reminded that true belief always requires action. His response ignites a journey that impacts everyone it touches in ways that only God could orchestr...",English,United States,2 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMjE5MzAxMjUyMl5BMl5BanBnXkFtZTgwNDk1OTMwNDE@._V1_SX300.jpg,22,6.1,"8,381",tt4056738,movie,N/A,"$12,985,600",N/A,N/A,True,,6.1/10,26%,22/100,,,,
Tracers,2015,PG-13,20 Mar 2015,94 min,"Action, Crime, Drama",Daniel Benmayor,"Matt Johnson, T.J. Scott, Kevin Lund","Taylor Lautner, Marie Avgeropoulos, Adam Rayner","Wanted by the Chinese mafia, a New York City bike messenger escapes into the world of parkour after meeting a beautiful stranger.","English, Chinese, Vietnamese",United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BNzc2NDQ2MDU5N15BMl5BanBnXkFtZTgwMDc2MjE3MzE@._V1_SX300.jpg,45,5.6,"20,333",tt2401097,movie,N/A,N/A,N/A,N/A,True,,5.6/10,25%,45/100,,,,
Do You Believe?,2017,N/A,09 Sep 2017,71 min,"Fantasy, Horror",Richard Tavernaro,Richard Tavernaro,"Mandy Neuhaus, Keller Fornes, Paul Mariskanish",A group of teenage friends spend the evening telling stories - only to find the stories are all too real.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BM2E1Njc2ZWItZDRkNS00YjI4LTgzYzQtNWQ1Y2I0MjFhNzgyXkEyXkFqcGdeQXVyMjQ3NDkyOTM@._V1_SX300.jpg,N/A,4.2,48,tt6960218,movie,N/A,N/A,N/A,N/A,True,,4.2/10,,,,,,
Zombeavers,2014,R,20 Mar 2015,77 min,"Comedy, Horror",Jordan Rubin,"Al Kaplan, Jordan Rubin, Jon Kaplan","Rachel Melvin, Cortney Palm, Lexi Atkins",A fun weekend turns into madness and horror for a bunch of groupies looking for fun in a beaver infested swamp.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTMzMzc4ODc1M15BMl5BanBnXkFtZTgwMTM0MTgxMTE@._V1_SX300.jpg,44,4.8,"21,891",tt2784512,movie,N/A,"$14,947",N/A,N/A,True,,4.8/10,72%,44/100,,,,
The Gunman,2004,R,15 Jun 2004,90 min,"Crime, Drama, Thriller",Daniel Millican,Daniel Millican,"Daniel Millican, Hannah Nicolas, Emma Nicolas",Austin Police Detective Ben Simms searches for justice.,English,United States,1 win,https://m.media-amazon.com/images/M/MV5BNjk0Mjk4NDA2MV5BMl5BanBnXkFtZTcwODA3MTgyMQ@@._V1_SX300.jpg,N/A,4.4,474,tt0339537,movie,N/A,N/A,N/A,N/A,True,,4.4/10,,,,,,
Eva,1962,Not Rated,03 Oct 1962,107 min,"Drama, Romance",Joseph Losey,"James Hadley Chase, Hugo Butler, Evan Jones","Jeanne Moreau, Stanley Baker, Virna Lisi",A raw Welsh novelist in Venice is humiliated by a money-loving Frenchwoman who erotically ensnares him.,"English, Italian","Italy, France",1 nomination total,https://m.media-amazon.com/images/M/MV5BMjY1YWU4NDQtYTJiMi00NDFjLTg5NDUtZTUwOGNjYmZiZTY4XkEyXkFqcGc@._V1_SX300.jpg,N/A,6.4,"2,128",tt0059160,movie,N/A,N/A,N/A,N/A,True,,6.4/10,64%,,,,,
Eva,2010,Not Rated,08 Oct 2010,111 min,Drama,Adrian Popovici,"Steve Attridge, Radu Petrescu-Aneste, Adrian Popovici","Vincent Regan, Amy Beth Hayes, Michael Ironside","During World War II, 16 year old Eva meets Tudor, a mysterious man who makes her feel like a woman, but whose periodic disappearances wreak havoc on their relationship.",English,Romania,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTQ4NDQwNjEwN15BMl5BanBnXkFtZTcwNjkyMTYwMw@@._V1_SX300.jpg,N/A,5.1,435,tt1105740,movie,N/A,N/A,N/A,N/A,True,,5.1/10,,,,,,
Run All Night,2015,R,13 Mar 2015,114 min,"Action, Crime, Thriller",Jaume Collet-Serra,Brad Ingelsby,"Liam Neeson, Ed Harris, Joel Kinnaman","Mobster and hit man Jimmy Conlon has one night to figure out where his loyalties lie: with his estranged son, Mike, whose life is in danger, or his longtime best friend, mob boss Shawn Maguire, who wants Mike to pay for the death ...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTU2ODI3ODEyOV5BMl5BanBnXkFtZTgwMTM3NTQzNDE@._V1_SX300.jpg,59,6.6,"118,954",tt2199571,movie,N/A,"$26,461,644",N/A,N/A,True,,6.6/10,59%,59/100,,,,
Eva,2019,N/A,N/A,N/A,"Short, Sci-Fi",Roy Huang,"Eliot John Hagen, Patrick Lota","Matthew Jayson Cwern, Roy Huang, Jennifer Sun Bell","In a future where climate change and pollution have caused humanity to adapt, a father plans a heist to steal a prototype water filtration device from a tech company founder to help his ailing daughter.",English,United States,2 wins,https://m.media-amazon.com/images/M/MV5BMWQ4ZjY1Y2ItN2Q3Zi00Y2ZkLTgwYWEtOWRhYjIxYTEzZDY5XkEyXkFqcGdeQXVyMTM2OTE5MzM@._V1_SX300.jpg,N/A,N/A,17,tt11282046,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
It Follows,2014,R,13 Mar 2015,100 min,"Horror, Mystery, Thriller",David Robert Mitchell,David Robert Mitchell,"Maika Monroe, Keir Gilchrist, Olivia Luccardi",A young woman is followed by an unknown supernatural force after a sexual encounter.,English,United States,25 wins & 44 nominations total,https://m.media-amazon.com/images/M/MV5BNGZiYWRiYjAtODU0NS00YzAzLTk2MzQtZGVlMzVjM2M3MGQ3XkEyXkFqcGc@._V1_SX300.jpg,83,6.8,"291,239",tt3235888,movie,N/A,"$14,674,076",N/A,N/A,True,,6.8/10,95%,83/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,Incorrect IMDb ID.,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,Incorrect IMDb ID.,,,,,,,
Hayride 2,2015,R,18 Mar 2016,92 min,"Action, Horror, Thriller",Terron R. Parsons,Terron R. Parsons,"Sherri Eakin, Jeremy Sande, Jeremy Ivy",The end of one journey only marks the beginning of another as Detective Loomis returns to uncover the truth behind the Legend of Pitchfork.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjM1MDk4NzQzN15BMl5BanBnXkFtZTgwNDM0OTQzNDE@._V1_SX300.jpg,N/A,3.0,764,tt2924352,movie,N/A,"$2,571",N/A,N/A,True,,3.0/10,,,,,,
Unfinished Business,1941,Approved,27 Aug 1941,96 min,"Comedy, Musical, Romance",Gregory La Cava,"Vicki Baum, Eugene Thackrey","Irene Dunne, Robert Montgomery, Preston Foster","Small town girl meets and falls for a playboy type on a train to New York. For him, the fling is over when they arrive, but she continues to carry a torch. She meets and marries his brother, a mismatch which eventually grows into ...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZTkyOTNjNjMtNWUwMC00Y2JlLWI2YmMtNzc5OTMxOTI3ZTlmXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.4,326,tt0034340,movie,N/A,N/A,N/A,N/A,True,,6.4/10,,,,,,
Unfinished Business,1987,N/A,18 Sep 1987,67 min,Drama,Viveca Lindfors,Viveca Lindfors,"Peter Donat, Herriett Guiar, Gina Hecht","Helena, a stage actress is confronted by Ferenc, a Hungarian who left her 15 years before to return to Europe, where he now runs a state-subsidized theater. Though he has brought along his current mistress, he wants to come back t...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNWY4MWUzNzYtNTNiOC00MjI2LWJjOTItZTAxY2YzZDZjYjM3XkEyXkFqcGdeQXVyMjM5NDM1MTE@._V1_SX300.jpg,N/A,6.0,10,tt0094220,movie,N/A,N/A,N/A,N/A,True,,6.0/10,,,,,,
Unfinished Business,2020,N/A,17 Jun 2020,6 min,"Short, Comedy",Mary Dauterman,"Mary Dauterman, Jenny Donheiser","Jenny Donheiser, Meagan Kensil, Arielle Siegel","A male stripper unknowingly finds himself stripping for the ghosts of powerful 80s business women trapped in a purgatorial loop, celebrating their last night on earth before closing a major deal. He still wants to get paid, but he...",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMjI5NzdhM2MtOTlmNS00ODhlLTg3ODMtYWMwMDNkNjViNjE4XkEyXkFqcGc@._V1_SX300.jpg,N/A,5.5,18,tt11156574,movie,N/A,N/A,N/A,N/A,True,,5.5/10,,,,,,
Chappie,2015,R,06 Mar 2015,120 min,"Action, Crime, Drama",Neill Blomkamp,"Neill Blomkamp, Terri Tatchell","Sharlto Copley, Dev Patel, Ninja","In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself.",English,"United States, South Africa, Mexico",3 nominations total,https://m.media-amazon.com/images/M/MV5BMTUyNTI4NTIwNl5BMl5BanBnXkFtZTgwMjQ4MTI0NDE@._V1_SX300.jpg,41,6.8,"281,010",tt1823672,movie,N/A,"$31,569,268",N/A,N/A,True,,6.8/10,32%,41/100,,,,
Unfinished Business,1984,N/A,09 Nov 1984,99 min,Drama,Don Owen,Don Owen,"Isabelle Mejias, Peter Spence, Leslie Toth",Seventeen year old Isabelle Marks lives in Toronto with her divorced mother and finds her life directionless. Isabelle becomes involved with an anti-nuclear group that her boyfriend Jessie 'Fixit' is connected with and is arrested...,English,Canada,5 nominations,https://m.media-amazon.com/images/M/MV5BOWUzN2FiYWItN2QyYi00OTU5LWEyMDQtNDZkMmYxZTBkZDk4XkEyXkFqcGdeQXVyNTA1NDY3NzY@._V1_SX300.jpg,N/A,6.2,43,tt0088327,movie,N/A,N/A,N/A,N/A,True,,6.2/10,,,,,,
Unfinished Business,2015,R,06 Mar 2015,91 min,"Comedy, Drama",Ken Scott,Steve Conrad,"Vince Vaughn, Dave Franco, Tom Wilkinson","A hard-working small business owner and his two associates travel to Europe to close the most important deal of their lives. But what began as a routine business trip goes off the rails in every way imaginable, and unimaginable.",English,"Germany, United States",1 nomination total,https://m.media-amazon.com/images/M/MV5BOWVkMDVlNmUtNmUwNC00OTJiLTgxMTUtNmNjYTUyODFhZTQyXkEyXkFqcGc@._V1_SX300.jpg,32,5.4,"35,928",tt2358925,movie,N/A,"$10,219,501",N/A,N/A,True,,5.4/10,10%,32/100,,,,
Unfinished Business,2022,N/A,13 Jun 2022,90 min,"Documentary, Sport",Alison Klayman,N/A,"Sabrina Ionescu, Joan Jett, Betnijah Laney","An intimate look at the formation and legacy of the WNBA, and flagship team New York Liberty's dramatic 2021 season, as they play for acceptance, respect, and the future of basketball.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjRiMjg0ZjEtYzUwYS00OTY2LThiMDktMzRmYmY4OGRlMjM5XkEyXkFqcGdeQXVyMTgwMTUxODE@._V1_SX300.jpg,N/A,6.7,52,tt19781466,movie,N/A,N/A,N/A,N/A,True,,6.7/10,90%,,,,,
Unfinished Business: Kingston High,2023,N/A,01 Apr 2023,90 min,Horror,Qasim Barnes,"Jeremy Becton, Jeremy George, Jonathan Milton","Dakarai Akil, Jazmyne Bledsoe, Anthony Crawford","A local Sheriff, Keith James, finds himself on a desperate hunt for vengeance after the loss of his brother. While in the midst of solving the case the truth about his past is revealed making him and his daughter targets. Will ven...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNmFkYjE2NjgtZjlmMy00NDc4LThmZDktMTcwNjY0NTEwY2YwXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,23,tt19428542,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Unfinished Business,1985,Not Rated,26 Jan 1985,58 min,"Documentary, History, War",Steven Okazaki,"Laura Ide, Jane Kaihatsu, Steven Okazaki","Amy Hill, Gordon Hirabayashi, Fred Korematsu","Spring, 1942: F.D.R. signs executive order 9066, and more than 110,000 Japanese Americans, most of them U.S. citizens, are sent to internment camps. Three young men - Min Yasui, an attorney from Oregon, Gordon Hirabayashi, a Quake...",English,United States,Nominated for 1 Oscar. 1 nomination total,https://m.media-amazon.com/images/M/MV5BMTEwMDU4NjYwMzFeQTJeQWpwZ15BbWU3MDY2MzQxMzE@._V1_SX300.jpg,N/A,6.6,54,tt0092136,movie,N/A,N/A,N/A,N/A,True,,6.6/10,,,,,,
After the Ball,2015,Not Rated,24 Apr 2015,101 min,Comedy,Sean Garrity,"Jason Sherman, Kate Melville, Lana Griffin","Portia Doubleday, Marc-André Grondin, Chris Noth","After a young fashion designer runs afoul of her corrupt stepmother and stepsisters, she dons a disguise to help save the family business for her father.","English, French, Italian",Canada,1 nomination total,https://m.media-amazon.com/images/M/MV5BODAxMjgyNzc3OV5BMl5BanBnXkFtZTgwNTMzNDgxNDE@._V1_SX300.jpg,39,5.8,"3,747",tt3717016,movie,N/A,"$161,820",N/A,N/A,True,,5.8/10,27%,39/100,,,,
After the Ball,1914,N/A,01 Jul 1914,N/A,Drama,Pierce Kingsley,"Charles Harris, Pierce Kingsley","Herbert Kelcey, Effie Shannon, Robert Vaughn","A little maiden / Climbed an old man's knee, / Begged for a story. / Oh, Uncle please. / Why are you single? / Why live alone? / Have you no babies? / Have you no home? The story he tells her follows: John Dale is an eminent bache...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BYjI1NDVkNjEtODY1NS00NjA5LTliNTAtODc3NzJlMjQ0ODA1XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,N/A,N/A,15,tt0003605,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Focus,2014,N/A,N/A,2 min,"Animation, Short",Alex Boya,Alex Boya,N/A,A cart ride through the mental shopping mall of attention deficit disorder.,English,"Canada, Mexico",N/A,https://m.media-amazon.com/images/M/MV5BMzgzMDA3ZTYtZmJjZS00MDc0LTkzNTItMDFhMmY2MGJhM2RkXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,19,tt4909298,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
After the Ball,1929,N/A,08 Nov 1929,8 min,"Animation, Short, Comedy",Dave Fleischer,N/A,N/A,N/A,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMzJkMGVhMmEtNWNmYy00N2YyLWE1YWUtNTEyMmI3OTVjNDM4XkEyXkFqcGc@._V1_SX300.jpg,N/A,4.9,36,tt0140792,movie,N/A,N/A,N/A,N/A,True,,4.9/10,,,,,,
The Hunting Ground,2015,PG-13,01 Jan 2016,103 min,Documentary,Kirby Dick,"Kirby Dick, Amy Ziering","Andrea Pino, Annie Clark, Claire Potter","An exposé of rape crimes on U.S. college campuses, their institutional cover-ups, and the devastating toll they take on students and their families.",English,United States,Nominated for 1 Oscar. 8 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BNjc4Mjk3ODgxMl5BMl5BanBnXkFtZTgwMjc3OTQ1NDE@._V1_SX300.jpg,77,7.4,"6,519",tt4185572,movie,N/A,"$405,917",N/A,N/A,True,,7.4/10,93%,77/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,Incorrect IMDb ID.,,,,,,,
Focus,2011,Not Rated,20 Feb 2011,6 min,"Short, Drama, Romance",Ari Kruger,Ari Kruger,"Clyde Berning, Abigail Parker","You see her for the first time in the supermarket. She's the most beautiful girl you've ever seen. You go on a few dates, a couple walks and very soon, you're hanging out all the time. You tell her you love her and she loves you. ...",English,South Africa,N/A,https://m.media-amazon.com/images/M/MV5BZmVjMTU5MDMtYjY2ZS00MWQ0LTg1YmItNzNiYWZhYjExZjI0XkEyXkFqcGdeQXVyMjA3MTc5MjU@._V1_SX300.jpg,N/A,7.1,34,tt1813316,movie,N/A,N/A,N/A,N/A,True,,7.1/10,,,,,,
After the Ball,1956,Approved,13 Feb 1956,6 min,"Family, Animation, Short",Paul J. Smith,Jack Cosgriff,"Daws Butler, Grace Stafford","Pierre Bear runs a bowling ball factory in the great North. Pierre mistakenly chops down Woody's tree-house and converts it into a bowling ball. Despite this, Woody decides to still reside in it, and goes about trying to outwit th...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BN2ViNmQ1MWMtZmRjNy00ODIzLTgzOGQtMGM3ODc5OTI4MDQ3XkEyXkFqcGdeQXVyNzQ1MDg2NTU@._V1_SX300.jpg,N/A,6.2,66,tt0149598,movie,N/A,N/A,N/A,N/A,True,,6.2/10,,,,,,
Everly,2014,R,23 Jan 2015,92 min,"Action, Thriller",Joe Lynch,"Yale Hannon, Joe Lynch","Salma Hayek, Hiroyuki Watanabe, Laura Cepeda",A kidnapped woman faces down hitmen sent by a mob boss/her captor while trying to protect her family from his wrath.,"English, Japanese, Spanish",United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BMjEyNTU4NTE5NV5BMl5BanBnXkFtZTgwNzY4NzIxNDE@._V1_SX300.jpg,35,5.1,"20,119",tt1945084,movie,N/A,N/A,N/A,N/A,True,,5.1/10,29%,35/100,,,,
Shot,2001,R,03 Aug 2001,98 min,"Action, Crime",Roger Roth,Roger Roth,"Brandon Karrer, Trent Cameron, Nadège August",He thought he knew what life was about. He was dead wrong. Rob's an ambitious photographer who is trying to boost his career. He attempts to document life in the 'hood and hooks up with a gang who shows him what life is like on th...,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTI3ODU2Njg2OV5BMl5BanBnXkFtZTcwMjM0NjcxMQ@@._V1_SX300.jpg,N/A,6.5,177,tt0273226,movie,N/A,N/A,N/A,N/A,True,,6.5/10,,,,,,
Focus,2015,R,27 Feb 2015,105 min,"Comedy, Crime, Drama","Glenn Ficarra, John Requa","Glenn Ficarra, John Requa","Will Smith, Margot Robbie, Rodrigo Santoro","In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop.","English, Spanish","United States, Argentina",3 nominations total,https://m.media-amazon.com/images/M/MV5BMTUwODg2OTA4OF5BMl5BanBnXkFtZTgwOTE5MTE4MzE@._V1_SX300.jpg,56,6.6,"289,889",tt2381941,movie,N/A,"$53,862,963",N/A,N/A,True,,6.6/10,,56/100,,,,
After the Ball,1932,N/A,03 Mar 1934,70 min,"Comedy, Romance",Milton Rosmer,"H.M. Harwood, Max Neufeld, J.O.C. Orton","Esther Ralston, Basil Rathbone, Marie Burke",The wife of a diplomat in Geneva pretends to be a maid in order to continue her flirting with a handsome young courier.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjlhNDk2MGMtNDZmOC00OWI0LWFkZDgtMDdkYzEyMzlmYTc2XkEyXkFqcGdeQXVyMTYzNTE3NDA@._V1_SX300.jpg,N/A,N/A,8,tt0023743,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Focus,2001,PG-13,02 May 2002,106 min,"Drama, Romance",Neal Slavin,"Arthur Miller, Kendrew Lascelles","William H. Macy, Laura Dern, David Paymer","In the waning months of World War II, a man and his wife are mistakenly identified as Jews by their anti-Semitic Brooklyn neighbors. Suddenly the victims of religious and racial persecution, they find themselves aligned with a loc...",English,United States,2 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMjlmMGY0MTMtODNiMy00ZWNmLWFhYTktNzZhZWRkYWU0ZWQ4XkEyXkFqcGc@._V1_SX300.jpg,53,6.7,"3,159",tt0246628,movie,N/A,"$645,418",N/A,N/A,True,,6.7/10,55%,53/100,,,,
The Lazarus Effect,2015,PG-13,27 Feb 2015,83 min,"Horror, Mystery, Sci-Fi",David Gelb,"Luke Dawson, Jeremy Slater","Olivia Wilde, Mark Duplass, Evan Peters",A group of medical researchers discover a way to bring dead patients back to life.,English,United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BMjM2ODM1OTA0M15BMl5BanBnXkFtZTgwMDMxMDI5MzE@._V1_SX300.jpg,31,5.2,"48,122",tt2918436,movie,N/A,"$25,801,570",N/A,N/A,True,,5.2/10,,31/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,Incorrect IMDb ID.,,,,,,,
