Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Rating_InternetMovieDatabase,Error,Rating_RottenTomatoes,Rating_Metacritic,Season,Episode,seriesID,totalSeasons
Playing with Fire,2019,PG,08 Nov 2019,96 min,"Comedy, Family",Andy Fickman,"Dan Ewen, Matt Lieberman","John Cena, Keegan-Michael Key, John Leguizamo",A crew of rugged firefighters meet their match when attempting to rescue three rambunctious kids.,"English, Spanish, French",United States,2 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BYTBmNGU1OTctZmNmOS00MTUwLTg2NTktZDdhMGI3MWU1YTY1XkEyXkFqcGc@._V1_SX300.jpg,24,5.2,"17,395",tt9134216,movie,N/A,"$44,451,847",N/A,N/A,True,5.2/10,,24%,24/100,,,,
Playing with Fire,2000,N/A,N/A,90 min,"Action, Mystery, Thriller",Roy Campanella II,"Dianne Mayhew, Christopher Koefoed","Vanessa Williams, Tangi Miller, Sean Blakemore",A woman tries to save her sister who stole a priceless African statue with her lover.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTI3MjU2ODY4M15BMl5BanBnXkFtZTcwNjE5MTEyMQ@@._V1_SX300.jpg,N/A,5.9,26,tt0265537,movie,N/A,N/A,N/A,N/A,True,5.9/10,,,,,,,
Playing with Fire,1921,N/A,19 Dec 1921,50 min,Comedy,Dallas M. Fitzgerald,"William M. Clayton, J.U. Giesy, Doris Schroeder","Gladys Walton, Kathryn McGuire, Eddie Gribbon","Enid Gregory plays the piano at a music store on Broadway, and is content with her snappy, routine existence until Janet Fenwick, a society girl whose father committed suicide under a cloud of financial disgrace, comes to Enid's boar",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BZWJhNDFiMDItNWEwMC00MDY4LTkyYWMtOWQ0NDUzZTQ2MWQ1XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,N/A,N/A,N/A,tt0012571,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Christmas Jars,2019,N/A,04 Nov 2019,92 min,Drama,Jonathan Wright,"Jason Wright, Andrea Stevens","Jeni Ross, Markian Tarasiuk, Tara Yelland","Based on the novel by Jason Wright, it tells the story of reporter Hope Jensen, who uncovers the secret behind ""Christmas Jars"" - jars filled with money and given anonymously to people in need. The phenomenon has changed countless...",English,Canada,2 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BOTcwY2U4NmQtM2UyNi00NGIwLWI2NTQtMjg2OWY3MGZkMTRhXkEyXkFqcGc@._V1_SX300.jpg,N/A,7.3,"1,125",tt9802890,movie,N/A,"$459,462",N/A,N/A,True,7.3/10,,,,,,,
Motherless Brooklyn,2019,R,01 Nov 2019,144 min,"Crime, Drama, Mystery",Edward Norton,"Edward Norton, Jonathan Lethem","Edward Norton, Gugu Mbatha-Raw, Alec Baldwin","In 1950s New York, Lionel, a private detective with Tourette syndrome, sets out to uncover the mystery behind his mentor and only friend Frank's murder. Scouring the jazz clubs and slums of Brooklyn, he soon uncovers a web of secr...","English, French",United States,2 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BMTU3ZWViNGUtZWFkNC00NWQzLTg4MzgtNGYwZThhOWU0YzFkXkEyXkFqcGc@._V1_SX300.jpg,60,6.8,"65,114",tt0385887,movie,N/A,"$9,277,736",N/A,N/A,True,6.8/10,,65%,60/100,,,,
Arctic Dogs,2019,PG,01 Nov 2019,92 min,"Animation, Adventure, Comedy",Aaron Woodley,"Bob Barlen, Cal Brunker, Matthew Lyon","Jeremy Renner, Heidi Klum, James Franco","An Arctic fox works in the mailroom of a package delivery service, but wants to be doing the deliveries.","English, French","Italy, United Kingdom, Canada, United States, India, China",1 nomination total,https://m.media-amazon.com/images/M/MV5BYTc2MjliZWMtZGQxZi00NzgwLThiZjYtNmFhZDc0MzkwYzAzXkEyXkFqcGc@._V1_SX300.jpg,28,4.8,"2,348",tt4426464,movie,N/A,"$5,801,249",N/A,N/A,True,4.8/10,,13%,28/100,,,,
Terminator: Dark Fate,2019,R,01 Nov 2019,128 min,"Action, Adventure, Sci-Fi",Tim Miller,"David S. Goyer, Justin Rhodes, Billy Ray","Linda Hamilton, Arnold Schwarzenegger, Mackenzie Davis","An augmented human and Sarah Connor must stop an advanced liquid Terminator from hunting down a young girl, whose fate is critical to the human race.","English, Spanish","United States, Spain, Hungary, China",1 win & 12 nominations total,https://m.media-amazon.com/images/M/MV5BOTU2OGFhYjktNDJhMC00NmU5LWE1OWItNzg5ODU1MzdmNTZkXkEyXkFqcGc@._V1_SX300.jpg,54,6.2,"208,094",tt6450804,movie,N/A,"$62,253,077",N/A,N/A,True,6.2/10,,70%,54/100,,,,
Countdown,2019,PG-13,25 Oct 2019,90 min,"Horror, Thriller",Justin Dec,Justin Dec,"Elizabeth Lail, Jordan Calloway, Talitha Eliana Bateman","When a nurse downloads an app that claims to predict the moment a person will die, it tells her she only has three days to live. With the clock ticking and a figure haunting her, she must find a way to save her life before time ru...","English, Latin",United States,N/A,https://m.media-amazon.com/images/M/MV5BMzJjODI5ZTQtMTIxNy00MjY0LTlhNDgtNzk0YjZjM2Q1ZDIyXkEyXkFqcGc@._V1_SX300.jpg,31,5.4,"49,890",tt10039344,movie,N/A,"$25,621,766",N/A,N/A,True,5.4/10,,26%,31/100,,,,
Black and Blue,1999,TV-14,17 Nov 1999,96 min,Drama,Paul Shapiro,"Anna Quindlen, April Smith","Mary Stuart Masterson, Anthony LaPaglia, Will Rothhaar","After a woman's husband beats and abuses her, she and her son join the witness protection program and move away secretly.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTI1MTQyMTAxOF5BMl5BanBnXkFtZTcwMDAxOTgyMQ@@._V1_SX300.jpg,N/A,6.1,570,tt0214546,movie,N/A,N/A,N/A,N/A,True,6.1/10,,,,,,,
Countdown,2014,N/A,30 Aug 2014,N/A,"Short, Comedy","Jane Martens, Christopher Strong","Jane Martens, Christopher Strong","Irene Martens, Christopher Strong",N/A,English,United States,N/A,N/A,N/A,N/A,N/A,tt7033400,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Countdown,2016,N/A,15 Jan 2016,5 min,"Short, Horror",Justin Dec,Justin Dec,"Anne Leighton, Eric Jungmann","After downloading an app that claims to predict when you're going to die, a woman begins to realize that she's invited something sinister into her life.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMDdlZmFkMTMtZjhlOC00ZjIxLTllNjAtNTUxMWZhZTRkYjY3XkEyXkFqcGdeQXVyODE0Mzk4MzE@._V1_SX300.jpg,N/A,N/A,N/A,tt12249442,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
No Safe Spaces,2019,PG-13,25 Oct 2019,100 min,"Documentary, News, War",Justin Folk,John Sullivan,"Adam Carolla, Dennis Prager, Jordan B. Peterson",No Safe Spaces contends that identity politics and the suppression of free speech are spreading into every part of society and threatening to divide America.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZWRjM2NhYzktNTU2ZS00NTU4LWIwYmQtYWIyODc1ZTRiZmE1XkEyXkFqcGc@._V1_SX300.jpg,31,7.1,"2,885",tt8363914,movie,N/A,"$1,291,514",N/A,N/A,True,7.1/10,,50%,31/100,,,,
Western Stars,2019,PG,25 Oct 2019,83 min,"Documentary, Music","Bruce Springsteen, Thom Zimny",N/A,"Patti Scialfa, Bruce Springsteen",Live concert performance of Bruce Springsteen singing songs from his album 'Western Stars'.,English,United States,1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BNDhhZGI5NDQtNDM3Ni00ZTlhLWI1ODQtMTc0NzE1MzMwY2E5XkEyXkFqcGc@._V1_SX300.jpg,80,7.6,"2,026",tt10687158,movie,N/A,"$1,581,681",N/A,N/A,True,7.6/10,,96%,80/100,,,,
Countdown,2019,N/A,30 Jun 2019,9 min,"Short, Comedy",Ruairi O'Brien,"Anthony Duplantis, Lewis Edwards, Ruairi O'Brien","Darren O'Brien, Chip Davison, Grace E Gonzalez",N/A,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BN2RmMThlOTYtNzI0ZS00NTNmLTg4MTQtMzE3MDNhMzYxMTM1XkEyXkFqcGdeQXVyOTM2ODAzNTU@._V1_SX300.jpg,N/A,N/A,N/A,tt10293412,movie,N/A,N/A,N/A,N/A,True,,,26%,,,,,
Countdown,2016,R,05 Apr 2016,90 min,"Action, Crime, Mystery",John Stockwell,"Michael Finch, Richard Wenk","Nic Nemeth, Glenn Jacobs, Katharine Isabelle","When a madman kidnaps a young boy and rigs him with explosives, Ray defies his captain and takes matter into his own hands. Now he must beat the clock and save the innocent child.","Russian, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BMTg4MTUxMjU5OF5BMl5BanBnXkFtZTgwNTAyMDA5NzE@._V1_SX300.jpg,N/A,4.7,"2,019",tt4872162,movie,N/A,N/A,N/A,N/A,True,4.7/10,,,,,,,
Countdown,1996,R,23 Nov 1996,90 min,"Crime, Mystery, Thriller",Keoni Waxman,Keoni Waxman,"Yûki Amami, Lori Petty, Jason London",An FBI agent works with a Tokyo policeman in Seattle to stop a criminal obsessed with a student.,English,"United States, Japan",1 win,https://m.media-amazon.com/images/M/MV5BMTUwNjcwNjUxOF5BMl5BanBnXkFtZTcwMjQwMjMyMQ@@._V1_SX300.jpg,N/A,3.9,294,tt0115953,movie,N/A,N/A,N/A,N/A,True,3.9/10,,,,,,,
Black and Blue,1992,N/A,27 Sep 1992,N/A,"Comedy, Crime, Drama",David Hayman,GF Newman,"Christopher John Hall, Rowena King, Martin Shaw",When a local black politician is murdered an undercover police officer unveils a web of police corruption which puts lives at risk and threatens the whole community.,English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BZWI5ZWE0Y2UtZDdlMy00NDg1LTkwNjQtOTU1ZTJkNGQ5MWE5XkEyXkFqcGdeQXVyMTUzMDc5Mjg0._V1_SX300.jpg,N/A,N/A,29,tt0103822,episode,,,,,True,,,,,4,4,tt0297625,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
Black and Blue,2019,R,25 Oct 2019,108 min,"Action, Thriller",Deon Taylor,Peter A. Dowling,"Naomie Harris, Tyrese Gibson, Frank Grillo",A rookie New Orleans police officer is forced to balance her identity as a black woman after she witnesses two corrupt cops committing murder.,English,United States,1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMmFmZjE5NmUtZGFjYi00Zjc0LWIyYzYtZDhlYzVlZDUxY2JlXkEyXkFqcGc@._V1_SX300.jpg,54,6.4,"28,987",tt7390646,movie,N/A,"$22,055,313",N/A,N/A,True,6.4/10,,49%,54/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
Black and Blue,2017,Not Rated,01 Oct 2018,110 min,Documentary,Dylan Avery,Dylan Avery,"Duane Alves, Alan Alves, Cheryl Dorsey","A documentary about police brutality that follows a DJ beat up by off duty DEA agents, a man arrested for filming a police officer, and many others as they fight for justice for their loved ones.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMmUwYzUwMjctMjkyMi00MjFmLWE4OTAtZWQwZWQyODk3NzNjXkEyXkFqcGc@._V1_SX300.jpg,N/A,7.2,31,tt4472010,movie,N/A,N/A,N/A,N/A,True,7.2/10,,,,,,,
"Black and Blue: The Story of Gerald Ford, Willis Ward and the 1934 Michigan-Georgia Tech Football Game",2012,N/A,13 Feb 2012,80 min,Documentary,Brian Kruger,Buddy Moorehouse,N/A,"In 1934, Georgia Tech came up to Ann Arbor to play the University of Michigan Football team. They had one demand - UofM must bench it's only black player, Willis Ward.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjMxZGViODAtZWQ3MS00ZmVhLTgxNDQtZTk1MmFjM2QxZmQ2XkEyXkFqcGdeQXVyMTI2MDM1ODM@._V1_SX300.jpg,N/A,N/A,N/A,tt2290155,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
Countdown,1967,Approved,01 Feb 1968,101 min,"Sci-Fi, Thriller",Robert Altman,"Loring Mandel, Hank Searls","James Caan, Robert Duvall, Joanna Moore","Desperate to land a man on the moon before Russia does, NASA hastily preps a would-be spaceman for a mission that would leave him alone in a lunar shelter for a year.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjBmODU0YTktM2ZiZi00MWFlLTg2ZTMtYmUwZjNmMjc1YzEwXkEyXkFqcGc@._V1_SX300.jpg,N/A,5.9,"2,656",tt0062827,movie,N/A,N/A,N/A,N/A,True,5.9/10,,71%,,,,,
Countdown,2009,N/A,N/A,9 min,"Short, Comedy",Jordan Canning,"Jody Richardson, Jordan Canning","Neil Butler, Jacob Keily, Perry Clemens","A Roadl Dahl-like fable about an ill fated professional pianist who comes down with a unique affliction: he is losing the use of his fingers. His life spirals downward as, one by one, his digits stop functioning.",English,Canada,3 wins,https://m.media-amazon.com/images/M/MV5BNjBhMDU0NDctYjdhNC00MzFlLWFhOTAtY2NkOTI0OTE1YTJmXkEyXkFqcGdeQXVyMTg5ODQ1MTY@._V1_SX300.jpg,N/A,7.2,14,tt1418987,movie,N/A,N/A,N/A,N/A,True,7.2/10,,,,,,,
The Lighthouse,2023,N/A,25 Aug 2023,16 min,"Short, Drama",Daniyah Azrin,Daniyah Azrin,"Luna Fitrina, Qistina Rose, Sadiqah","Maya is at a confusing point of her life where she is finding herself and learning how to grieve the loss of her sister. Maintaining her friendship with her best friend Willow, and her mental health has been a challenge.",English,Singapore,N/A,https://m.media-amazon.com/images/M/MV5BZjNmM2FiMGYtNjk3NC00MTVhLWIwMTctZTI1YmM2Y2E5NWZmXkEyXkFqcGdeQXVyMTYzMjY4NDEy._V1_SX300.jpg,N/A,N/A,N/A,tt29374127,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Greener Grass,2015,N/A,10 Jun 2015,15 min,"Short, Comedy",Paul Briganti,"Jocelyn DeBoer, Dawn Luebbe","Jocelyn DeBoer, Dawn Luebbe, Nick Kocher","In this dark comedy of manners, soccer moms Jill and Lisa seek the approval of their ""friends"" - at all costs. This surreal world is just on the edge of consciousness; suburbia through the looking glass. Every adult wears painful ...",English,United States,3 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMjExMjEzMDc3MV5BMl5BanBnXkFtZTgwMjk0NzQ4NzE@._V1_SX300.jpg,N/A,6.6,295,tt5047458,movie,N/A,N/A,N/A,N/A,True,6.6/10,,,,,,,
Greener Grass,2019,Unrated,18 Oct 2019,95 min,Comedy,"Jocelyn DeBoer, Dawn Luebbe","Jocelyn DeBoer, Dawn Luebbe","Jocelyn DeBoer, Dawn Luebbe, Beck Bennett",Suburban soccer moms find themselves constantly competing against each other in their personal lives as their kids settle their differences on the field.,English,United States,2 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BMWJiN2NmMDAtOTM4Yi00NmU4LWFhYjUtOTgxMzM4NjlhYjU2XkEyXkFqcGc@._V1_SX300.jpg,69,6.4,"6,100",tt7422822,movie,N/A,"$51,456",N/A,N/A,True,6.4/10,,83%,69/100,,,,
Greener Grass,2015,N/A,13 Nov 2015,16 min,"Short, Drama",Zachary Davenport,Zachary Davenport,"Maria Katsadouros, Bruno Rose","Waiting for an early flight, Lance and Melanie waste time wandering around campus. All the while, their hidden conflicts rise to the surface.",N/A,United States,N/A,N/A,N/A,N/A,N/A,tt10087070,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
The Lighthouse,2010,N/A,01 May 2011,8 min,"Animation, Short, Family",Po-Chou Chi,Po-Chou Chi,Po-Chou Chi,A story which is about parents support their children to make their dreams come true.,English,Taiwan,2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMWExMjU3MDYtMDM2ZS00MzU0LWFlZGEtNmM1MjliMWYzMTJkXkEyXkFqcGc@._V1_SX300.jpg,N/A,7.8,92,tt1714135,movie,N/A,N/A,N/A,N/A,True,7.8/10,,,,,,,
Zombieland: Double Tap,2019,R,18 Oct 2019,99 min,"Action, Comedy, Horror",Ruben Fleischer,"Rhett Reese, Paul Wernick, Dave Callaham","Woody Harrelson, Jesse Eisenberg, Emma Stone","Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.",English,United States,6 nominations total,https://m.media-amazon.com/images/M/MV5BOTViNDc4NTgtYzVlNi00YmY3LWFiNDgtODJlNGU1YzI1MGExXkEyXkFqcGc@._V1_SX300.jpg,55,6.7,"217,705",tt1560220,movie,N/A,"$73,123,082",N/A,N/A,True,6.7/10,,68%,55/100,,,,
The Lighthouse (Opera),2021,N/A,16 Nov 2021,70 min,Music,Edwina Casey,Peter Maxwell Davies,"Brenton Ryan, Ben McAteer, John Molloy","A Scottish lighthouse goes dark. A visiting supply ship finds the building in order, but the keepers have vanished without trace.",English,Ireland,N/A,https://m.media-amazon.com/images/M/MV5BNzc2ZWRiMjAtYTg5NS00OTVlLTk1YzQtNmU4Y2UzZWUyNWViXkEyXkFqcGdeQXVyOTg2NjgyMDA@._V1_SX300.jpg,N/A,N/A,N/A,tt16386712,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
The Lighthouse,2019,R,01 Nov 2019,109 min,"Drama, Fantasy, Horror",Robert Eggers,"Robert Eggers, Max Eggers","Robert Pattinson, Willem Dafoe, Valeriia Karaman",Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.,English,"Canada, United States",Nominated for 1 Oscar. 34 wins & 139 nominations total,https://m.media-amazon.com/images/M/MV5BMTI4MjFhMjAtNmQxYi00N2IxLWJjMGEtYWY1YmU3OTQ0Zjk3XkEyXkFqcGc@._V1_SX300.jpg,83,7.4,"291,926",tt7984734,movie,N/A,"$10,867,104",N/A,N/A,True,7.4/10,,90%,83/100,,,,
The Lighthouse,2016,N/A,06 Jul 2018,102 min,Thriller,Chris Crow,"Paul Bryant, Chris Crow, Michael Jibson","Mark Lewis Jones, Michael Jibson, Ian Virgo","Based on real events which saw two lighthouse keepers stranded for months at sea in a freak storm, the film tells a tale of death, madness and isolation; a desolate trip into the heart of human darkness.",N/A,United Kingdom,2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BODljZmFmMTUtNDA1ZS00ZmViLTlhYjMtZDQ5YjAwOGNiMzFjXkEyXkFqcGc@._V1_SX300.jpg,58,5.3,"1,189",tt3520714,movie,N/A,N/A,N/A,N/A,True,5.3/10,,71%,58/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
The Lighthouse,2016,N/A,17 Mar 2016,12 min,"Animation, Short, Adventure",Simon Scheiber,Simon Scheiber,N/A,A lighthouse keeper's surprising discovery pulls him out of his daily routine and takes him into uncharted territory.,N/A,Netherlands,N/A,https://m.media-amazon.com/images/M/MV5BNDYxNjQ0MzY3OF5BMl5BanBnXkFtZTgwNjE4NjExNzE@._V1_SX300.jpg,N/A,5.6,51,tt5072800,movie,N/A,N/A,N/A,N/A,True,5.6/10,,71%,,,,,
Jay and Silent Bob Reboot,2019,R,29 Nov 2019,105 min,"Action, Adventure, Comedy",Kevin Smith,Kevin Smith,"Joey Lauren Adams, Ben Affleck, Fred Armisen",Jay and Silent Bob inadvertently sign away their names and rights to the new Bluntman and Chronic movie. Now they head to Hollywood to stop the film from being made. Along the way Jay discovers that he is a father.,"English, Spanish",United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BY2Y1N2Y0MDAtYTMwZC00Mzc3LWJjMGYtZjliYWQxYmE4ZDdlXkEyXkFqcGc@._V1_SX300.jpg,46,5.6,"30,064",tt6521876,movie,N/A,"$4,589,490",N/A,N/A,True,5.6/10,,67%,46/100,,,,
Gift,2018,N/A,11 Oct 2019,90 min,Documentary,Robin McKenna,Robin McKenna,"Marcus Alfred, Wayne Alfred, Giorgio De Finis","Exploring the parallels between artists' work and a gift economy, GIFT is a reflection on the creative process, and the beauty and challenges of fearlessly giving and receiving.","English, Italian",Canada,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMjkxMDMzNTQ4MF5BMl5BanBnXkFtZTgwMTk3MTIwNTM@._V1_SX300.jpg,N/A,6.0,59,tt4276094,movie,N/A,"$31,588",N/A,N/A,True,6.0/10,,100%,,,,,
Jexi,2019,R,11 Oct 2019,84 min,"Comedy, Romance, Sci-Fi","Jon Lucas, Scott Moore","Jon Lucas, Scott Moore","Adam Devine, Alexandra Shipp, Rose Byrne","Phil makes top 10 pop lists at work. His only ""friend"" is cellphone Siri. His new phone includes AI helper Jexi, who improves/controls his social life.",English,"United States, Canada",1 nomination total,https://m.media-amazon.com/images/M/MV5BMDI1OGI0YjUtZTc2Mi00YzIxLTlmNWItNzA3OTI2Mjk1YjJjXkEyXkFqcGc@._V1_SX300.jpg,39,6.0,"32,886",tt9354944,movie,N/A,"$6,546,159",N/A,N/A,True,6.0/10,,23%,39/100,,,,
Parasite,2024,N/A,29 Jul 2024,N/A,Drama,Mya Speller,Mya Speller,"Kai Lynn, R.L. Moser, Valarie McDowell-Gunn",'Parasite' is a gripping psychological tale that explores the depths of human depravity and the lengths one will go to for survival. It's a cautionary tale of manipulation and the price of loving the wrong person.,N/A,United States,N/A,https://m.media-amazon.com/images/M/MV5BZjc5YTFiYzktNzNlZC00ZGYxLWE2MGMtNGRlY2I5YzhiZTVkXkEyXkFqcGc@._V1_SX300.jpg,N/A,3.3,6,tt32473992,movie,N/A,N/A,N/A,N/A,True,3.3/10,,,,,,,
Parasite,2004,R,01 Aug 2004,93 min,"Action, Adventure, Horror",Andrew Prendergast,"Alan Coulson, Jason Kingsley, Paul Mackman","Gary Condés, Saskia Gould, Conrad Whitaker","A cleaning fluid experiment on an oil rig turns disastrous when a worker goes missing and eco-activists seize the rig, before a dangerous new creature forces workers and activists to band together.",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BNzY1NTA4MDQ4Nl5BMl5BanBnXkFtZTcwNzMyMTUxMQ@@._V1_SX300.jpg,N/A,2.8,701,tt0352699,movie,N/A,N/A,N/A,N/A,True,2.8/10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
