Response,Error,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Rating_InternetMovieDatabase,Rating_RottenTomatoes,Rating_Metacritic,Season,Episode,seriesID,totalSeasons
True,,Down to Earth: Skydive Dubai,2015,Not Rated,04 Apr 2015,51 min,Documentary,Daphne Schmon,Jeff Pinilla,N/A,"Ernesto Gainza stands 4,000 meters above the ground in Dubai, preparing to set a Guinness world record skydiving with the smallest and fastest parachute in history. Experts say he is likely to die, but he jumps. Born in Valencia, ...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTk5ODhkNzUtYjhkNC00NGQxLTkwNWMtNzMyMzg4NTk5YWZkXkEyXkFqcGdeQXVyMTQ4MDkxNzM@._V1_SX300.jpg,N/A,N/A,N/A,tt4433116,movie,N/A,N/A,N/A,N/A,,,,,,,
True,,Down to Earth,2015,N/A,15 Sep 2018,90 min,"Documentary, Adventure","Renata Heinen, Rolf Winters",Rolf Winters,N/A,"Breaking away from convention, this family went on a five year journey to find a new perspective on life. Their life with tribal communities around the world has led to a thought-provoking cinematic experience of ancient, earthly ...",N/A,"United Kingdom, United States",2 wins,https://m.media-amazon.com/images/M/MV5BMTQxOTYwNjUyMV5BMl5BanBnXkFtZTgwMzcwMTk3MjE@._V1_SX300.jpg,N/A,6.4,354,tt2223552,movie,N/A,N/A,N/A,N/A,6.4/10,,,,,,
True,,Down to Earth,1917,Passed,16 Aug 1917,71 min,"Comedy, Romance",John Emerson,"John Emerson, Douglas Fairbanks, Anita Loos","Douglas Fairbanks, Eileen Percy, Gustav von Seyffertitz","A healthy outdoors-type follows the girl he loves to a resort for wealthy hypochondriacs. In order to prove to her and the other patients that their ""illnesses"" are all in their minds, he hatches a scheme to take them on a boat ri...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNWI5MTk1NGItZjY0ZS00M2I4LWFmMTgtNzIwYzQ1NTY0NWIyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,N/A,6.3,82,tt0007873,movie,N/A,N/A,N/A,N/A,6.3/10,,,,,,
True,,Down to Earth,1932,N/A,01 Sep 1932,79 min,Comedy,David Butler,"Edwin J. Burke, Homer Croy","Will Rogers, Dorothy Jordan, Irene Rich","The Pike Peters family deals with the trappings of wealth. That is, until the depression begins to catch up with them.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNDJmZjFiMzktMGRjMS00ZjdhLWIzYWUtNWE3ZDRmYzQzYjNiXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,N/A,6.1,87,tt0022833,movie,N/A,N/A,N/A,N/A,6.1/10,,,,,,
True,,Down to Earth,1947,Approved,21 Aug 1947,101 min,"Comedy, Fantasy, Musical",Alexander Hall,"Edwin Blum, Don Hartman, Harry Segall","Rita Hayworth, Larry Parks, Marc Platt","A goddess angered by a musical's take on Greek myths joins the show's cast and convinces the producer to make changes, but her revisions turn it into a failure.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzk3NTcwOTgtOGFlOC00NDhlLWE5MTItM2NhMWJjZTdiMDEzXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.1,"1,767",tt0039337,movie,N/A,"$5,450,000",N/A,N/A,6.1/10,40%,,,,,
True,,Down to Earth,2001,PG-13,16 Feb 2001,87 min,"Comedy, Fantasy","Chris Weitz, Paul Weitz","Elaine May, Warren Beatty, Chris Rock","Chris Rock, Regina King, Chazz Palminteri","After dying before his time, an aspiring black comic gets a second shot at life - by being placed in the body of a wealthy white businessman.",English,"Germany, Canada, Australia, United States",3 nominations total,https://m.media-amazon.com/images/M/MV5BMGRjNjNlYTAtOTg5NS00Mzk4LWI4OWEtNGExNWUyMjk0NzIzXkEyXkFqcGc@._V1_SX300.jpg,32,5.4,"25,349",tt0231775,movie,N/A,"$64,186,502",N/A,N/A,5.4/10,18%,32/100,,,,
True,,Hannibal,1972,N/A,30 Nov 1972,100 min,Drama,Xavier Koller,"Xavier Koller, Hans Schmid","Marcus Mislin, Fred Tanner, Anestis Vlahos",N/A,N/A,Switzerland,N/A,https://m.media-amazon.com/images/M/MV5BNjM3NTQ4ZDItOTEyMS00ZDY3LTk1MzItMTA1ZmFiMDM2Y2M4XkEyXkFqcGdeQXVyNzI4MDMyMTU@._V1_SX300.jpg,N/A,N/A,6,tt4905870,movie,N/A,N/A,N/A,N/A,,,,,,,
True,,Saving Silverman,2001,PG-13,09 Feb 2001,90 min,"Comedy, Crime, Romance",Dennis Dugan,"Hank Nelken, Greg DePaul","Jason Biggs, Steve Zahn, Jack Black",A pair of buddies conspire to save their best friend from marrying the wrong woman.,"English, Thai","United States, Australia",N/A,https://m.media-amazon.com/images/M/MV5BOWRhZmE5MDgtYjhiOC00NDUzLWIyZmUtMDUxNzU5NmYzYzE5XkEyXkFqcGc@._V1_SX300.jpg,22,5.9,"44,467",tt0239948,movie,N/A,"$19,402,030",N/A,N/A,5.9/10,18%,22/100,,,,
True,,Hannibal,2001,R,09 Feb 2001,131 min,"Crime, Drama, Thriller",Ridley Scott,"Thomas Harris, David Mamet, Steven Zaillian","Anthony Hopkins, Julianne Moore, Gary Oldman","Living in exile, Dr. Hannibal Lecter tries to reconnect with now disgraced F.B.I. Agent Clarice Starling, and finds himself a target of revenge from a powerful victim.","English, Italian, Japanese","United Kingdom, Italy, United States",9 wins & 25 nominations total,https://m.media-amazon.com/images/M/MV5BYTk3NGUzOWYtNTU5Yy00ZDNjLTg1YzItZDlmNWRhMmVlZTMxXkEyXkFqcGc@._V1_SX300.jpg,57,6.8,"307,314",tt0212985,movie,N/A,"$165,092,268",N/A,N/A,6.8/10,39%,57/100,,,,
True,,Valentine,2014,N/A,26 Jan 2014,4 min,"Short, Comedy, Romance",Kate Herron,"Kate Herron, Beattie Edmondson, Rose Johnson","Rose Johnson, Camille Ucan, Beattie Edmondson","On Valentine's day, a hopeless romantic and a cynic realise that love is right in front of them",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BZmYzYmMxZmQtMDAwMS00ZWMyLTkxOWUtZTc5YWM3YzM2MWUzXkEyXkFqcGc@._V1_SX300.jpg,N/A,5.7,32,tt3399582,movie,N/A,N/A,N/A,N/A,5.7/10,,,,,,
True,,Valentine,2001,R,02 Feb 2001,96 min,"Horror, Mystery, Thriller",Jamie Blanks,"Tom Savage, Donna Powers, Wayne Powers","Denise Richards, David Boreanaz, Marley Shelton",Five women are stalked by an unknown assailant while preparing for Valentine's Day.,"English, Cantonese","Canada, United States, Australia",2 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BZDBmNGNjYjEtMmYzNy00OTNjLTlmMDUtMDQ0NjJkOGE4MDZmXkEyXkFqcGc@._V1_SX300.jpg,18,4.9,"30,727",tt0242998,movie,N/A,"$20,384,136",N/A,N/A,4.9/10,11%,18/100,,,,
True,,Valentine,1979,N/A,07 Dec 1979,100 min,"Comedy, Romance",Lee Philips,"Merrit Malloy, Lee Philips","Jack Albertson, Danny DeVito, Brad Dexter","Two people meet in a retirement home in Venice, California where a former policeman decides to entice the other residents into new activities.",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BNzg0MDA3MDEtZGFkNy00NDU2LTg0OTctMjE2NTYyMTMzNzMwL2ltYWdlXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_SX300.jpg,N/A,6.4,36,tt0080078,movie,N/A,N/A,N/A,N/A,6.4/10,,,,,,
True,,Valentine,2022,N/A,10 Apr 2022,10 min,"Short, Drama","Beck Kitsis, Chris McNabb","Beck Kitsis, Chris McNabb","Jacob Tobia, Sadie Scott","With gender and identity in flux, Corey and Mia struggle to redefine their relationship.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMjhiOWQzZWQtMjZmNi00ZGExLTgxOTktMDZlOTllMDA5OGZjXkEyXkFqcGdeQXVyNDYxMTk2MDk@._V1_SX300.jpg,N/A,7.3,21,tt18278396,movie,N/A,N/A,N/A,N/A,7.3/10,,,,,,
True,,Valentine,2024,N/A,N/A,N/A,"Short, Sci-Fi",Devon Kelley,Devon Kelley,"Cailyn Rice, Bailey Coppola, Lana Spring","In a not so distant future, 17 year old Annika copes with loneliness as she navigates the emotional struggle between AI and human relationships in the wake of a sexual assault.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMmVmMjJhZDEtNmJjMi00ZmNiLWIyYzgtMDU5MjYwNmE0NzE2XkEyXkFqcGdeQXVyMTAwOTE4NTc4._V1_SX300.jpg,N/A,N/A,N/A,tt30983791,movie,N/A,N/A,N/A,N/A,,,,,,,
True,,Head Over Heels,2024,TV-G,31 Aug 2024,84 min,Romance,Samantha Wan,"Rickie Castaneda, Megan Hocking","Rebecca Dalton, Alexandra Castillo, Olivier Renaud","Addison's dream comes true when luxury-shoe designer Delaney Diaz hires her, thanks to PR guru Austin. But will she be able to achieve a work/life balance while also considering a new romance?",English,"United States, Canada",N/A,https://m.media-amazon.com/images/M/MV5BODJiZjJiMWYtNzM1ZS00MTQ5LWI5YjItMzEzY2ZkOWE5ZDMyXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.2,477,tt33062428,movie,N/A,N/A,N/A,N/A,6.2/10,,,,,,
True,,Head Over Heels,2001,PG-13,02 Feb 2001,86 min,"Comedy, Mystery, Romance",Mark Waters,"John J. Strauss, Ed Decter, David Kidd","Monica Potter, Freddie Prinze Jr., Shalom Harlow",A young woman is attracted to a man despite her thinking she's seen him kill someone.,"English, Russian",United States,N/A,https://m.media-amazon.com/images/M/MV5BZTVhMGZmNDQtYWZjZi00NmM2LThkNmYtNzBjYjcxZmE2ZjRlXkEyXkFqcGc@._V1_SX300.jpg,27,5.4,"15,791",tt0192111,movie,N/A,"$10,424,470",N/A,N/A,5.4/10,10%,27/100,,,,
True,,Head Over Heels,1922,N/A,06 May 1922,50 min,Comedy,"Paul Bern, Victor Schertzinger","Nalbro Bartley, Gerald C. Duffy, Julien Josephson","Mabel Normand, Hugh Thompson, Russ Powell",Three men become involved in a young woman's life for very different reasons.,"None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BYzgxZDFkZjYtNWYzMi00ZmY1LTlmZmEtNDY4YjNhMGExMDdjXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,N/A,6.2,22,tt0013221,movie,N/A,N/A,N/A,N/A,6.2/10,,,,,,
False,Incorrect IMDb ID.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,,Head Over Heels,2012,TV-PG,21 Oct 2012,11 min,"Animation, Short, Comedy",Timothy Reckart,Timothy Reckart,"Nigel Anthony, Rayyah McCaul","Walter and Madge have grown apart: he lives on the floor and she lives on the ceiling. When Walter tries to reignite their old romance, the couple must face their equilibrium.",N/A,United Kingdom,Nominated for 1 Oscar. 14 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BODMyNDdlMDgtOWMzNy00YzU0LTkxNGItM2IxMzE5YjEyNjlhXkEyXkFqcGc@._V1_SX300.jpg,N/A,7.4,"2,400",tt2391009,movie,N/A,N/A,N/A,N/A,7.4/10,,,,,,
True,,Sugar and Spice,2001,N/A,19 Jun 2001,10 min,Short,Tania Trepanier,Tania Trepanier,"Shalini Tewari, Arano Khokhar","Radha and Anna cover up their relationship when Radha's aunt Durga comes for a visit from India, with surprising results!",N/A,Canada,N/A,N/A,N/A,5.9,8,tt0274912,movie,N/A,N/A,N/A,N/A,5.9/10,30%,,,,,
True,,The Wedding Planner,2001,PG-13,26 Jan 2001,103 min,"Comedy, Romance",Adam Shankman,"Pamela Falk, Michael Ellis","Jennifer Lopez, Matthew McConaughey, Bridgette Wilson-Sampras",Mary Fiore is San Francisco's most successful supplier of romance and glamor. She knows all the tricks. She knows all the rules. But then she breaks the most important rule of all: she falls in love with the groom.,"English, Italian","Germany, United States",2 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BZmNkOGFiZjktMGFlZi00NGU2LThkYzUtOGFlZDExNDcxMzY2XkEyXkFqcGc@._V1_SX300.jpg,33,5.4,"90,779",tt0209475,movie,N/A,"$60,400,856",N/A,N/A,5.4/10,,33/100,,,,
True,,The Pledge,2024,N/A,18 Oct 2024,12 min,"Short, Thriller",Jackson Stofka,"Trenton Hancock, Jackson Stofka","Eric Cheng, Gaige Johnson, Derek Norris","The Pledge follows Charles and Sam, two lifelong friends, on their last day of pledgeship. Charles is worried about what is in store but Sam reassures Charles that everything will be okay. In the night Charles spots a girl he has ...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNmJmZmI1NGItNmZkNC00YmJhLWIyMTctMDQ0MzM5NGJiODYwXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt34063217,movie,N/A,N/A,N/A,N/A,,,,,,,
False,Incorrect IMDb ID.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,,The Pledge,1981,N/A,N/A,22 min,"Short, Drama",Digby Rumsey,"Digby Rumsey, Lord Dunsany","Ronald Forfar, Roger Watkins, Peter Rutherford",The colleagues of an executed highwayman pledge to save his soul.,English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BNGYzM2EwNmEtOGMzMS00YTdjLTlhNTktMmViYWEyMGVmODhiXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.2,125,tt1118688,movie,N/A,N/A,N/A,N/A,6.2/10,,,,,,
True,,The Pledge,2011,Not Rated,19 Aug 2011,118 min,"Drama, Family",J.W. Myers,Ty DeMartino,"Barrett Carnahan, Terry Kiser, Emily Capehart","Tory Hedderman is a self-centered, apathetic and brooding 16 year old who doesn't really care about anyone or anything -- that is, until his family has to move from New York City to rural West Virginia. When Tory is caught vandali...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTIxMjA4MTk4NF5BMl5BanBnXkFtZTgwMjI2NTMxMTE@._V1_SX300.jpg,N/A,6.2,187,tt1878917,movie,16 Jul 2013,N/A,Bridgestone Multmedia Group,N/A,6.2/10,,,,,,
True,,The Pledge,2001,R,19 Jan 2001,124 min,"Crime, Drama, Mystery",Sean Penn,"Friedrich Dürrenmatt, Jerzy Kromolowski, Mary Olson-Kromolowski","Jack Nicholson, Benicio Del Toro, Patricia Clarkson",A retiring police detective pledges to catch the killer of a young child.,English,"United States, Canada",1 win & 6 nominations total,https://m.media-amazon.com/images/M/MV5BNzU3NDA5ZjItZmQxMi00ODY2LThmNjctYjU1MTE4OGZhYjlhXkEyXkFqcGc@._V1_SX300.jpg,71,6.7,"72,050",tt0237572,movie,N/A,"$19,733,089",N/A,N/A,6.7/10,78%,71/100,,,,
True,,Save the Last Dance,2001,PG-13,12 Jan 2001,112 min,"Drama, Music, Romance",Thomas Carter,"Duane Adler, Cheryl Edwards","Julia Stiles, Sean Patrick Thomas, Kerry Washington","A white midwestern girl moves to Chicago, where her new boyfriend is a black teen from the South Side with a rough, semi-criminal past.",English,United States,7 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMTY1ZjVmNTUtZTdmMC00MDdhLThkMGQtZjM3MTAxZWI3M2ViXkEyXkFqcGc@._V1_SX300.jpg,53,6.2,"68,378",tt0206275,movie,N/A,"$91,057,006",N/A,N/A,6.2/10,,53/100,,,,
True,,Antitrust,2001,PG-13,12 Jan 2001,108 min,"Action, Crime, Drama",Peter Howitt,Howard Franklin,"Ryan Phillippe, Tim Robbins, Rachael Leigh Cook",A computer programmer's dream job at a hot Portland-based firm turns nightmarish when he discovers his boss has a secret and ruthless means of dispatching anti-trust problems.,English,United States,2 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BNjdkY2NjNTYtZmQ3OC00ZWE2LTk3Y2UtM2M1ODFhOGEzZjE0XkEyXkFqcGc@._V1_SX300.jpg,31,6.1,"30,960",tt0218817,movie,N/A,"$11,328,094",N/A,N/A,6.1/10,23%,31/100,,,,
True,,Shadow of the Vampire,2000,R,26 Jan 2001,92 min,"Drama, Horror",E. Elias Merhige,Steven Katz,"John Malkovich, Willem Dafoe, Udo Kier",The filming of Nosferatu: A Symphony of Horror (1922) is hampered by the fact that its star Max Schreck is taking the role of a vampire far more seriously than seems humanly possible.,"English, German, Luxembourgish","United Kingdom, Luxembourg, Spain, United States",Nominated for 2 Oscars. 16 wins & 30 nominations total,https://m.media-amazon.com/images/M/MV5BODcwOWM4MDEtMTMxMS00Zjg0LWJiNmYtYzE5MDFlMWEyYTdhXkEyXkFqcGc@._V1_SX300.jpg,71,6.9,"47,183",tt0189998,movie,N/A,"$8,293,784",N/A,N/A,6.9/10,82%,71/100,,,,
True,,Traffic,2000,R,05 Jan 2001,147 min,"Crime, Drama, Thriller",Steven Soderbergh,"Simon Moore, Stephen Gaghan","Michael Douglas, Benicio Del Toro, Catherine Zeta-Jones","A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife ...","English, Spanish","Germany, United States",Won 4 Oscars. 73 wins & 86 nominations total,https://m.media-amazon.com/images/M/MV5BOWM3OWEzZGMtNThmZS00ZGFmLTk4ZDctMGQ4NmRhZGM4ZjUxXkEyXkFqcGc@._V1_SX300.jpg,86,7.6,"223,374",tt0181865,movie,N/A,"$124,115,725",N/A,N/A,7.6/10,93%,86/100,,,,
True,,All the Pretty Horses,2000,PG-13,25 Dec 2000,116 min,"Drama, Romance, Western",Billy Bob Thornton,"Cormac McCarthy, Ted Tally","Matt Damon, Penélope Cruz, Henry Thomas","Two Texas cowboys head to Mexico in search of work, but soon find themselves in trouble with the law after one of them falls in love with a wealthy rancher's daughter.","English, Spanish",United States,2 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BMWM2ZWVjMWUtODQzMy00MmEzLThjZDItMjUwMjgyNTAyYTYyXkEyXkFqcGc@._V1_SX300.jpg,55,5.8,"16,195",tt0149624,movie,N/A,"$15,540,353",N/A,N/A,5.8/10,32%,55/100,,,,
True,,Thirteen Days,2000,PG-13,12 Jan 2001,145 min,"Drama, History, Thriller",Roger Donaldson,"David Self, Ernest R. May, Philip D. Zelikow","Kevin Costner, Bruce Greenwood, Shawn Driscoll","In October 1962, the Kennedy administration struggles to contain the Cuban Missile Crisis.","English, Russian, Spanish, Romanian",United States,3 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BMzBlY2E0MDctZmMwYS00ZThkLTg2ZTEtMDgyZmI5NGIzODk0XkEyXkFqcGc@._V1_SX300.jpg,67,7.3,"63,884",tt0146309,movie,N/A,"$34,592,089",N/A,N/A,7.3/10,83%,67/100,,,,
True,,The House of Mirth,1918,N/A,05 Aug 1918,60 min,Drama,Albert Capellani,"Albert Capellani, June Mathis, Edith Wharton","Katherine Corri Harris, Henry Kolker, Christine Mayo","Lily Bart loves Lawrence Selden, a lawyer of moderate means, but she is also pursued by Simon Rosedale, a wealthy businessman, and Augustus Trenor-Dorset, a married man. When Dorset's wife Bertha announces that she is going to the...",None,United States,N/A,N/A,N/A,7.2,22,tt0009205,movie,N/A,N/A,N/A,N/A,7.2/10,,,,,,
True,,The Family Man,2000,PG-13,22 Dec 2000,125 min,"Comedy, Drama, Fantasy",Brett Ratner,"David Diamond, David Weissman","Nicolas Cage, Téa Leoni, Don Cheadle","Offered the opportunity to see how the other half lives, a fast-lane investment broker, wakes up to find that his sports car and girlfriend have become a mini-van and a wife.","English, Italian",United States,4 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BN2I4ODE3YzQtMzZhMy00YjhlLWE1MmMtYTA0MjkxNTJmMTZlXkEyXkFqcGc@._V1_SX300.jpg,42,6.8,"126,644",tt0218967,movie,N/A,"$75,793,305",N/A,N/A,6.8/10,54%,42/100,,,,
False,Incorrect IMDb ID.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,,Cast Away,2000,PG-13,22 Dec 2000,143 min,"Adventure, Drama, Romance",Robert Zemeckis,William Broyles Jr.,"Tom Hanks, Helen Hunt, Paul Sanchez",A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,"English, Russian",United States,Nominated for 2 Oscars. 15 wins & 36 nominations total,https://m.media-amazon.com/images/M/MV5BOGNjNDI5ZGQtZjRjMy00NzQyLWFiYzQtYjcwNjM3ZDYwNThhXkEyXkFqcGc@._V1_SX300.jpg,74,7.8,"676,631",tt0162222,movie,N/A,"$233,632,142",N/A,N/A,7.8/10,88%,74/100,,,,
True,,Miss Congeniality,2000,PG-13,22 Dec 2000,109 min,"Action, Comedy, Crime",Donald Petrie,"Marc Lawrence, Katie Ford, Caryn Lucas","Sandra Bullock, Michael Caine, Benjamin Bratt","Gracie Hart, a tomboyish detective, is forced to infiltrate the Miss United States beauty pageant as a contestant after her department learns that the event is under threat from an anonymous bomber.","English, Russian, Hawaiian",United States,7 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BZjMzOWU2MGQtM2Y2Mi00YzgwLTllOGYtNzJlNmU2OTM1MmJjXkEyXkFqcGc@._V1_SX300.jpg,43,6.3,"242,923",tt0212346,movie,N/A,"$106,807,667",N/A,N/A,6.3/10,41%,43/100,,,,
True,,State and Main,2000,R,12 Jan 2001,105 min,"Comedy, Drama",David Mamet,David Mamet,"Philip Seymour Hoffman, William H. Macy, Rebecca Pidgeon",A movie crew invades a small town whose residents are all too ready to give up their values for showbiz glitz.,"English, Italian",United States,7 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMDZlODVmNTItNjJmYS00MWIxLWJkMGYtN2Y3YzAzMjM3ZDM3XkEyXkFqcGc@._V1_SX300.jpg,75,6.7,"23,125",tt0120202,movie,N/A,"$6,944,471",N/A,N/A,6.7/10,84%,75/100,,,,
