Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Rating_InternetMovieDatabase,Rating_RottenTomatoes,Rating_Metacritic,Season,Episode,seriesID,Error
The Saint,1997,PG-13,04 Apr 1997,116 min,"Action, Adventure, Romance",Phillip Noyce,"Leslie Charteris, Jonathan Hensleigh, Wesley Strick","Val Kilmer, Elisabeth Shue, Rade Serbedzija","Simon ""The Saint"" Templar (Val Kilmer) is a thief for hire whose latest job to steal the secret process for cold fusion puts him at odds with a traitor bent on toppling the Russian government, as well as the woman who holds its se...","English, Russian",United States,1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BNzFiY2VmYmMtZWM4Yi00OWJiLTgxNGUtZjJlYjc2NGU0YmQ4XkEyXkFqcGc@._V1_SX300.jpg,50,6.2,"76,221",tt0120053,movie,N/A,"$61,363,304",N/A,N/A,True,6.2/10,30%,50/100,,,,
The Saint,2017,Not Rated,11 Jul 2017,91 min,"Action, Adventure, Crime",Ernie Barbarash,"Leslie Charteris, Jesse Alexander, Tony Giglio","Adam Rayner, Eliza Dushku, Ian Ogilvy","International master thief, Simon Templar, also known as The Saint, is tasked to find a man's kidnapped daughter. In addition to evading the authorities, Simon must face a dangerous adversary from his past.",English,"United States, Romania",N/A,https://m.media-amazon.com/images/M/MV5BMmZhMzJiZTctMTg3NS00NjU2LWI4MTAtYmUxYzhhMzQ5MTBmXkEyXkFqcGc@._V1_SX300.jpg,N/A,4.9,"7,024",tt2569088,movie,N/A,N/A,N/A,N/A,True,4.9/10,,,,,,
Ghost in the Shell,2017,PG-13,31 Mar 2017,107 min,"Action, Crime, Drama",Rupert Sanders,"Shirow Masamune, Jamie Moss, William Wheeler","Scarlett Johansson, Pilou Asbæk, Takeshi Kitano","In the near future, Major Mira Killian is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.","English, Japanese","India, China, Hong Kong, Canada, United States",3 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BNzBkNjdjZTctNjdhOS00NmIyLTlkNjQtY2EwNGMwYmZjNTIxXkEyXkFqcGc@._V1_SX300.jpg,52,6.3,"236,782",tt1219827,movie,N/A,"$40,563,557",N/A,N/A,True,6.3/10,43%,52/100,,,,
Happy Gilmore,1996,PG-13,16 Feb 1996,92 min,"Comedy, Sport",Dennis Dugan,"Tim Herlihy, Adam Sandler","Adam Sandler, Christopher McDonald, Julie Bowen","After his grandmother's house is repossessed by the IRS, a bad tempered hockey player takes his talents to golf to earn the big bucks and get his grandmothers house back.",English,United States,1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMzMyZTM1MTMtNDdjOS00NzIzLTkxY2QtZTU4OGYxOTUwNDMxXkEyXkFqcGc@._V1_SX300.jpg,31,7.0,"293,294",tt0116483,movie,N/A,"$39,041,354",N/A,N/A,True,7.0/10,65%,31/100,,,,
Across the Sea of Time,1995,G,20 Oct 1995,51 min,"Adventure, Drama, Family",Stephen Low,Andrew Gellis,"Peter Reznick, John McDonough, Avi Hoffman","A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is sear...","English, Russian",United States,N/A,https://m.media-amazon.com/images/M/MV5BOTIwMzk1MDc1MF5BMl5BanBnXkFtZTcwMTEzNDkyMQ@@._V1_SX300.jpg,N/A,6.4,316,tt0112286,movie,N/A,"$16,015,639",N/A,N/A,True,6.4/10,,,,,,
Se7en,1995,R,22 Sep 1995,127 min,"Crime, Drama, Mystery",David Fincher,Andrew Kevin Walker,"Morgan Freeman, Brad Pitt, Kevin Spacey","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",English,United States,Nominated for 1 Oscar. 29 wins & 44 nominations total,https://m.media-amazon.com/images/M/MV5BY2IzNzMxZjctZjUxZi00YzAxLTk3ZjMtODFjODdhMDU5NDM1XkEyXkFqcGc@._V1_SX300.jpg,65,8.6,"1,963,169",tt0114369,movie,N/A,"$101,040,643",N/A,N/A,True,8.6/10,84%,65/100,,,,
Apollo 13,1995,PG,30 Jun 1995,140 min,"Adventure, Drama, History",Ron Howard,"Jim Lovell, Jeffrey Kluger, William Broyles Jr.","Tom Hanks, Bill Paxton, Kevin Bacon",NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,English,United States,Won 2 Oscars. 31 wins & 59 nominations total,https://m.media-amazon.com/images/M/MV5BMGZmNGY1OTAtNjFkYS00MjcyLWFlZjUtYzEyMDllZGZhMzM3XkEyXkFqcGc@._V1_SX300.jpg,78,7.7,"330,531",tt0112384,movie,N/A,"$174,692,658",N/A,N/A,True,7.7/10,94%,78/100,,,,
Casper,1995,PG,26 May 1995,100 min,"Comedy, Family, Fantasy",Brad Silberling,"Joseph Oriolo, Sherri Stoner, Deanna Oliver","Bill Pullman, Christina Ricci, Cathy Moriarty",An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.,English,United States,5 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BZjYzZWZlYzYtZWZkYy00YjRkLWIxN2EtNjY1MGZmYmQxYTIxXkEyXkFqcGc@._V1_SX300.jpg,49,6.2,"156,802",tt0112642,movie,N/A,"$102,637,302",N/A,N/A,True,6.2/10,59%,49/100,,,,
Forrest Gump,1994,PG-13,06 Jul 1994,142 min,"Drama, Romance",Robert Zemeckis,"Winston Groom, Eric Roth","Tom Hanks, Robin Wright, Gary Sinise","The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",English,United States,Won 6 Oscars. 51 wins & 74 nominations total,https://m.media-amazon.com/images/M/MV5BNDYwNzVjMTItZmU5YS00YjQ5LTljYjgtMjY2NDVmYWMyNWFmXkEyXkFqcGc@._V1_SX300.jpg,82,8.8,"2,432,360",tt0109830,movie,N/A,"$330,455,270",N/A,N/A,True,8.8/10,75%,82/100,,,,
Dazed and Confused,1993,R,24 Sep 1993,103 min,Comedy,Richard Linklater,Richard Linklater,"Jason London, Wiley Wiggins, Matthew McConaughey",The adventures of high school and junior high students on the last day of school in May 1976.,English,United States,1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMTM5MDY5MDQyOV5BMl5BanBnXkFtZTgwMzM3NzMxMDE@._V1_SX300.jpg,82,7.6,"211,830",tt0106677,movie,N/A,"$8,249,404",N/A,N/A,True,7.6/10,94%,82/100,,,,
Jurassic Park,1993,PG-13,11 Jun 1993,127 min,"Action, Adventure, Sci-Fi",Steven Spielberg,"Michael Crichton, David Koepp","Sam Neill, Laura Dern, Jeff Goldblum","An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger.","English, Spanish",United States,Won 3 Oscars. 44 wins & 27 nominations total,https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_SX300.jpg,68,8.2,"1,148,871",tt0107290,movie,N/A,"$407,185,075",N/A,N/A,True,8.2/10,91%,68/100,,,,
Groundhog Day,1993,PG,12 Feb 1993,101 min,"Comedy, Drama, Fantasy",Harold Ramis,"Danny Rubin, Harold Ramis","Bill Murray, Andie MacDowell, Chris Elliott","A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.","English, French, Italian",United States,Won 1 BAFTA Award7 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BOWE3MjQ3ZDAtNDQ2MC00YjBjLTk0ZWYtNjQ0YzQ4YWE3YTEyXkEyXkFqcGc@._V1_SX300.jpg,72,8.0,"728,584",tt0107048,movie,N/A,"$71,107,962",N/A,N/A,True,8.0/10,94%,72/100,,,,
The Abyss,1989,PG-13,09 Aug 1989,140 min,"Adventure, Drama, Mystery",James Cameron,James Cameron,"Ed Harris, Mary Elizabeth Mastrantonio, Michael Biehn",A civilian diving team is enlisted to search for a lost nuclear submarine and faces danger while encountering an alien aquatic species.,English,United States,Won 1 Oscar. 9 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BMGRkNzJlNjgtZmUwYS00Y2U3LTljZDctMTQxYWIxOWVjMzNjXkEyXkFqcGc@._V1_SX300.jpg,62,7.5,"205,697",tt0096754,movie,N/A,"$54,981,151",N/A,N/A,True,7.5/10,89%,62/100,,,,
Dive to the Abyss,2002,N/A,27 Oct 2002,N/A,"Documentary, Family",N/A,"David Malakoff, George Page","Michael deGruy, Alastair Fothergill, Kate Humble",N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BYjFhOTk5ZjAtMjY4OS00MjY5LWFiMGQtMDM2YzJjMzA2MTQzXkEyXkFqcGdeQXVyODg3NDc1OTE@._V1_SX300.jpg,N/A,N/A,16,tt0907471,episode,,,,,True,,,,21,3,tt0907471,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,Incorrect IMDb ID.
Die Hard,1988,R,20 Jul 1988,132 min,"Action, Thriller",John McTiernan,"Roderick Thorp, Jeb Stuart, Steven E. de Souza","Bruce Willis, Alan Rickman, Bonnie Bedelia","A New York City cop, John McClane, tries to save his estranged wife and several others taken hostage by terrorists during a Christmas Eve party at the Nakatomi Plaza Skyscraper in Los Angeles, California.","English, German, Italian, Japanese",United States,Nominated for 4 Oscars. 8 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMGNlYmM1NmQtYWExMS00NmRjLTg5ZmEtMmYyYzJkMzljYWMxXkEyXkFqcGc@._V1_SX300.jpg,72,8.2,"1,003,024",tt0095016,movie,N/A,"$85,892,546",N/A,N/A,True,8.2/10,94%,72/100,,,,
Top Gun,1955,Approved,29 Jan 1956,73 min,Western,Ray Nazarro,"Steve Fisher, Richard Schayer","Sterling Hayden, William Bishop, Karin Booth","A gunslinger returns to his hometown to warn of an impending outlaw gang attack, but he's met with hatred and fear for his previous killings.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BN2FjNGYyMTctZjY2NC00YTRjLWE1ZTUtZTQ5ZWNhYmZiZjRkXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.2,743,tt0048734,movie,N/A,N/A,N/A,N/A,True,6.2/10,,,,,,
Top Gun,1986,PG,16 May 1986,110 min,"Action, Drama",Tony Scott,"Jim Cash, Jack Epps Jr., Ehud Yonay","Tom Cruise, Tim Robbins, Kelly McGillis","The Top Gun Naval Fighter Weapons School is where the best of the best train to refine their elite flying skills. When hotshot fighter pilot Maverick is sent to the school, his reckless attitude and cocky demeanor put him at odds ...",English,United States,Won 1 Oscar. 11 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BZmVjNzQ3MjYtYTZiNC00Y2YzLWExZTEtMTM2ZDllNDI0MzgyXkEyXkFqcGc@._V1_SX300.jpg,50,7.0,"538,178",tt0092099,movie,N/A,"$180,258,178",N/A,N/A,True,7.0/10,59%,50/100,,,,
Rad,1986,PG,28 Mar 1986,93 min,"Drama, Sport",Hal Needham,"Sam Bernard, Geoffrey Edwards","Bart Conner, Lori Loughlin, Bill Allen","The story of one young man, Cru Jones, who has the intensity and desire to win a BMX race called Helltrack.",English,United States,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BZmY2ZDQxNGUtNWZjNS00OGE2LTg0MWMtYzNiZGZhM2I0ZjM2XkEyXkFqcGc@._V1_SX300.jpg,24,6.7,"7,487",tt0091817,movie,N/A,"$2,015,882",N/A,N/A,True,6.7/10,42%,24/100,,,,
Back to the Future,1985,PG,03 Jul 1985,116 min,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,"Robert Zemeckis, Bob Gale","Michael J. Fox, Christopher Lloyd, Lea Thompson","Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",English,United States,Won 1 Oscar. 27 wins & 25 nominations total,https://m.media-amazon.com/images/M/MV5BZmM3ZjE0NzctNjBiOC00MDZmLTgzMTUtNGVlOWFlOTNiZDJiXkEyXkFqcGc@._V1_SX300.jpg,87,8.5,"1,410,143",tt0088763,movie,N/A,"$214,553,307",N/A,N/A,True,8.5/10,93%,87/100,,,,
The Breakfast Club,1985,R,15 Feb 1985,97 min,"Comedy, Drama",John Hughes,John Hughes,"Emilio Estevez, Judd Nelson, Molly Ringwald",Five high school students meet in Saturday detention and discover how they have a great deal more in common than they thought.,English,United States,4 wins total,https://m.media-amazon.com/images/M/MV5BZTZiMGU1MWMtNjk0Yi00ZjNjLTljMDEtMDhkNGE2OWY3YzZiXkEyXkFqcGc@._V1_SX300.jpg,66,7.8,"464,520",tt0088847,movie,N/A,"$46,434,721",N/A,N/A,True,7.8/10,87%,66/100,,,,
Blood Simple,1984,R,18 Jan 1985,99 min,"Crime, Drama, Thriller","Joel Coen, Ethan Coen","Joel Coen, Ethan Coen","John Getz, Frances McDormand, Dan Hedaya","The owner of a seedy small-town Texas bar discovers that one of his employees is having an affair with his wife. A chaotic chain of misunderstandings, lies, and mischief ensues after he devises a plot to have them murdered.","English, Spanish",United States,5 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BNTYxNWY5ODktYWRkOC00NDdkLWIwOGQtOWY5YWQ1N2Q3OWViXkEyXkFqcGc@._V1_SX300.jpg,84,7.5,"108,396",tt0086979,movie,N/A,"$3,851,855",N/A,N/A,True,7.5/10,94%,84/100,,,,
Ghostbusters,2016,PG-13,15 Jul 2016,117 min,"Action, Comedy, Fantasy",Paul Feig,"Katie Dippold, Paul Feig, Ivan Reitman","Melissa McCarthy, Kristen Wiig, Kate McKinnon","Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",English,"United States, Australia",5 wins & 24 nominations total,https://m.media-amazon.com/images/M/MV5BZjNhMzU5MjgtY2VhMC00NzZmLTk1YTEtMDc5OGU1OWJiMTE4XkEyXkFqcGc@._V1_SX300.jpg,60,6.8,"255,572",tt1289401,movie,N/A,"$128,350,574",N/A,N/A,True,6.8/10,74%,60/100,,,,
Ghostbusters,1984,PG,08 Jun 1984,105 min,"Action, Comedy, Fantasy",Ivan Reitman,"Dan Aykroyd, Harold Ramis","Bill Murray, Dan Aykroyd, Sigourney Weaver","Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.",English,United States,Nominated for 2 Oscars. 9 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BMGI0Yjg2ODAtNDYzNi00Njc2LTlkMmMtMmRmYWI5MDE4ZGRkXkEyXkFqcGc@._V1_SX300.jpg,71,7.8,"477,455",tt0087332,movie,N/A,"$243,640,120",N/A,N/A,True,7.8/10,95%,71/100,,,,
This Is Spinal Tap,1984,R,02 Mar 1984,82 min,"Comedy, Music",Rob Reiner,"Christopher Guest, Michael McKean, Harry Shearer","Rob Reiner, Michael McKean, Christopher Guest","Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.","English, Japanese",United States,3 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ2MTIzMzg5Nl5BMl5BanBnXkFtZTgwOTc5NDI1MDE@._V1_SX300.jpg,92,7.9,"153,607",tt0088258,movie,N/A,"$5,805,939",N/A,N/A,True,7.9/10,98%,92/100,,,,
Blade Runner,1982,R,25 Jun 1982,117 min,"Action, Drama, Sci-Fi",Ridley Scott,"Hampton Fancher, David Webb Peoples, Philip K. Dick","Harrison Ford, Rutger Hauer, Sean Young",A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,"English, German, Cantonese, Japanese, Hungarian, Arabic, Korean","United States, United Kingdom, Hong Kong",Nominated for 2 Oscars. 13 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BOWQ4YTBmNTQtMDYxMC00NGFjLTkwOGQtNzdhNmY1Nzc1MzUxXkEyXkFqcGc@._V1_SX300.jpg,84,8.1,"868,708",tt0083658,movie,N/A,"$32,914,489",N/A,N/A,True,8.1/10,89%,84/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,Incorrect IMDb ID.
,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,Incorrect IMDb ID.
Diva,2019,N/A,16 Mar 2019,10 min,"Short, Drama, Music",Maggie Levin,Maggie Levin,"Justin Baker, Nick Black, Verona Blue",A fledgling pop star finds herself chained to the machine of a world tour she can't stop.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOTE3NjdlNDgtMDllYi00ODgyLTkxYjMtNTkyMDQ5NGRjZjdlXkEyXkFqcGdeQXVyMjUwNjg1OTA@._V1_SX300.jpg,N/A,N/A,N/A,tt8535812,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Raiders of the Lost Ark,1981,PG,12 Jun 1981,115 min,"Action, Adventure",Steven Spielberg,"Lawrence Kasdan, George Lucas, Philip Kaufman","Harrison Ford, Karen Allen, Paul Freeman","In 1936, archaeologist Indiana Jones is tasked by Army Intelligence to help locate a legendary ancient power, the Ark of Covenant, before the Nazis get it first.","English, German, Spanish, Nepali, Hebrew, Arabic",United States,Won 4 Oscars. 41 wins & 24 nominations total,https://m.media-amazon.com/images/M/MV5BOGNhMjg2ZjgtYzk4Ni00MTViLTg1MmUtYzM2MDZiYjZlMmU3XkEyXkFqcGc@._V1_SX300.jpg,86,8.4,"1,089,167",tt0082971,movie,N/A,"$248,159,971",N/A,N/A,True,8.4/10,94%,86/100,,,,
Night of the Juggler,1980,R,07 Jun 1980,101 min,"Action, Crime, Drama","Robert Butler, Sidney J. Furie","William P. McGivern, William W. Norton, Rick Natkin","James Brolin, Cliff Gorman, Richard S. Castellano","A tough, New York City ex-cop relentlessly searches for his kidnapped teenage daughter whom is held by a twisted psycho after mistaking her for the daughter of a wealthy businessman.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZTY5NTBjZmQtZGZmZS00ZGZlLTg4YjAtMzFmNTdhNTk2NzVlXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.6,"1,223",tt0081230,movie,N/A,N/A,N/A,N/A,True,6.6/10,94%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,Incorrect IMDb ID.
Alien,1979,R,22 Jun 1979,117 min,"Horror, Sci-Fi",Ridley Scott,"Dan O'Bannon, Ronald Shusett","Sigourney Weaver, Tom Skerritt, John Hurt","After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",English,"United Kingdom, United States",Won 1 Oscar. 19 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BN2NhMDk2MmEtZDQzOC00MmY5LThhYzAtMDdjZGFjOGZjMjdjXkEyXkFqcGc@._V1_SX300.jpg,89,8.5,"1,038,309",tt0078748,movie,N/A,"$84,206,106",N/A,N/A,True,8.5/10,93%,89/100,,,,
Grease,1978,PG,16 Jun 1978,110 min,"Comedy, Musical, Romance",Randal Kleiser,"Jim Jacobs, Warren Casey, Bronte Woodard","John Travolta, Olivia Newton-John, Stockard Channing","Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?",English,United States,Nominated for 1 Oscar. 8 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BNGY0NzE0ZTctN2YzNC00M2IwLWI0OWYtMTAwZWU2NjZhMTQwXkEyXkFqcGc@._V1_SX300.jpg,70,7.2,"319,258",tt0077631,movie,N/A,"$190,071,103",N/A,N/A,True,7.2/10,65%,70/100,,,,
Killer of Sheep,1978,Not Rated,14 Nov 1978,80 min,Drama,Charles Burnett,Charles Burnett,"Henry G. Sanders, Kaycee Moore, Charles Bracy","Set in the Watts area of Los Angeles, a slaughterhouse worker must suspend his emotions to continue working at a job he finds repugnant, and then he finds he has little sensitivity for the family he works so hard to support.",English,United States,4 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMWNmMjgwMzQtYWRkYS00YzA3LTkwNTgtMmY4MjMyZDAxNDk2XkEyXkFqcGc@._V1_SX300.jpg,96,7.2,"8,056",tt0076263,movie,N/A,"$487,047",N/A,N/A,True,7.2/10,98%,96/100,,,,
Jaws,1978,N/A,N/A,3 min,"Short, Comedy",Larry Fessenden,N/A,N/A,N/A,N/A,United States,N/A,N/A,N/A,7.9,122,tt0273693,movie,N/A,N/A,N/A,N/A,True,7.9/10,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,Incorrect IMDb ID.
Jaws,1975,PG,20 Jun 1975,124 min,"Adventure, Horror, Thriller",Steven Spielberg,"Peter Benchley, Carl Gottlieb","Roy Scheider, Robert Shaw, Richard Dreyfuss","When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to the local police chief, a marine biologist, and an old seafarer to hunt the beast down.",English,United States,Won 3 Oscars. 16 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BYjViNDQzNmUtYzkxZi00NTk5LTljMmItYjJlZmZkODIxNjU1XkEyXkFqcGc@._V1_SX300.jpg,87,8.1,"719,617",tt0073195,movie,N/A,"$280,083,300",N/A,N/A,True,8.1/10,97%,87/100,,,,
